Global ID	Name	Queue ID	EOP to EOP Duration (ns)
22-41	 ExecuteIndirect(pCommandSignature:obj#2401, MaxCommandCount:1852, pArgumentBuffer:obj#7, ArgumentBufferOffset:0, pCountBuffer:obj#6, CountBufferOffset:0)	57	
23	      DrawIndexedInstanced(IndexCountPerInstance:6408, InstanceCount:1, StartIndexLocation:30871737, BaseVertexLocation:53978042, StartInstanceLocation:0)	59	
24	      DrawIndexedInstanced(IndexCountPerInstance:2070, InstanceCount:1, StartIndexLocation:30878145, BaseVertexLocation:53981667, StartInstanceLocation:0)	61	
25	      DrawIndexedInstanced(IndexCountPerInstance:1152, InstanceCount:1, StartIndexLocation:30880215, BaseVertexLocation:53983062, StartInstanceLocation:0)	63	
26	      DrawIndexedInstanced(IndexCountPerInstance:5184, InstanceCount:1, StartIndexLocation:30881367, BaseVertexLocation:53983818, StartInstanceLocation:0)	65	
27	      DrawIndexedInstanced(IndexCountPerInstance:6792, InstanceCount:1, StartIndexLocation:30886551, BaseVertexLocation:53988122, StartInstanceLocation:0)	67	
28	      DrawIndexedInstanced(IndexCountPerInstance:133380, InstanceCount:1, StartIndexLocation:30893343, BaseVertexLocation:53993060, StartInstanceLocation:0)	69	
29	      DrawIndexedInstanced(IndexCountPerInstance:112860, InstanceCount:1, StartIndexLocation:31026723, BaseVertexLocation:54079465, StartInstanceLocation:0)	71	
30	      DrawIndexedInstanced(IndexCountPerInstance:28728, InstanceCount:1, StartIndexLocation:31139583, BaseVertexLocation:54152647, StartInstanceLocation:0)	73	
31	      DrawIndexedInstanced(IndexCountPerInstance:150048, InstanceCount:1, StartIndexLocation:31168311, BaseVertexLocation:54171547, StartInstanceLocation:0)	75	
32	      DrawIndexedInstanced(IndexCountPerInstance:18144, InstanceCount:1, StartIndexLocation:31318359, BaseVertexLocation:54270242, StartInstanceLocation:0)	77	
33	      DrawIndexedInstanced(IndexCountPerInstance:6888, InstanceCount:1, StartIndexLocation:31336503, BaseVertexLocation:54282366, StartInstanceLocation:0)	79	
34	      DrawIndexedInstanced(IndexCountPerInstance:6240, InstanceCount:1, StartIndexLocation:31343391, BaseVertexLocation:54286958, StartInstanceLocation:0)	81	
35	      DrawIndexedInstanced(IndexCountPerInstance:3912, InstanceCount:1, StartIndexLocation:31349631, BaseVertexLocation:54291118, StartInstanceLocation:0)	83	
36	      DrawIndexedInstanced(IndexCountPerInstance:15264, InstanceCount:1, StartIndexLocation:31353543, BaseVertexLocation:54293776, StartInstanceLocation:0)	85	
37	      DrawIndexedInstanced(IndexCountPerInstance:116856, InstanceCount:1, StartIndexLocation:31368807, BaseVertexLocation:54304788, StartInstanceLocation:0)	87	
38	      DrawIndexedInstanced(IndexCountPerInstance:273024, InstanceCount:1, StartIndexLocation:31485663, BaseVertexLocation:54384073, StartInstanceLocation:0)	89	
39	      DrawIndexedInstanced(IndexCountPerInstance:14820, InstanceCount:1, StartIndexLocation:31758687, BaseVertexLocation:54566094, StartInstanceLocation:0)	91	
40	      DrawIndexedInstanced(IndexCountPerInstance:8736, InstanceCount:1, StartIndexLocation:31773507, BaseVertexLocation:54575653, StartInstanceLocation:0)	93	
41	      DrawIndexedInstanced(IndexCountPerInstance:234, InstanceCount:1, StartIndexLocation:31782243, BaseVertexLocation:54581475, StartInstanceLocation:0)	95	
42-60	 ExecuteIndirect(pCommandSignature:obj#2401, MaxCommandCount:1852, pArgumentBuffer:obj#7, ArgumentBufferOffset:59264, pCountBuffer:obj#6, CountBufferOffset:4)	96	
43	      DrawIndexedInstanced(IndexCountPerInstance:62424, InstanceCount:1, StartIndexLocation:57588882, BaseVertexLocation:12777196, StartInstanceLocation:0)	98	
44	      DrawIndexedInstanced(IndexCountPerInstance:62424, InstanceCount:1, StartIndexLocation:57831072, BaseVertexLocation:13307691, StartInstanceLocation:0)	100	
45	      DrawIndexedInstanced(IndexCountPerInstance:29376, InstanceCount:1, StartIndexLocation:63859860, BaseVertexLocation:26494756, StartInstanceLocation:0)	102	
46	      DrawIndexedInstanced(IndexCountPerInstance:14688, InstanceCount:1, StartIndexLocation:67926360, BaseVertexLocation:35315468, StartInstanceLocation:0)	104	
47	      DrawIndexedInstanced(IndexCountPerInstance:14688, InstanceCount:1, StartIndexLocation:63414252, BaseVertexLocation:25475444, StartInstanceLocation:0)	106	
48	      DrawIndexedInstanced(IndexCountPerInstance:29376, InstanceCount:1, StartIndexLocation:63622374, BaseVertexLocation:25978165, StartInstanceLocation:0)	108	
49	      DrawIndexedInstanced(IndexCountPerInstance:14688, InstanceCount:1, StartIndexLocation:65076624, BaseVertexLocation:29102019, StartInstanceLocation:0)	110	
50	      DrawIndexedInstanced(IndexCountPerInstance:14688, InstanceCount:1, StartIndexLocation:65314104, BaseVertexLocation:29619723, StartInstanceLocation:0)	112	
51	      DrawIndexedInstanced(IndexCountPerInstance:14688, InstanceCount:1, StartIndexLocation:65551584, BaseVertexLocation:30136513, StartInstanceLocation:0)	114	
52	      DrawIndexedInstanced(IndexCountPerInstance:29376, InstanceCount:1, StartIndexLocation:65759682, BaseVertexLocation:30638570, StartInstanceLocation:0)	116	
53	      DrawIndexedInstanced(IndexCountPerInstance:14976, InstanceCount:1, StartIndexLocation:58892214, BaseVertexLocation:15604886, StartInstanceLocation:0)	118	
54	      DrawIndexedInstanced(IndexCountPerInstance:62424, InstanceCount:1, StartIndexLocation:59042022, BaseVertexLocation:15950531, StartInstanceLocation:0)	120	
