candidate,bytes,bytes_per_index,saving_percent,runtime_class
raw_r32,366675444,4.00000000,0.000000,fixed_function_IA
hybrid_rebased_r16_r32,360274836,3.93017686,1.745579,fixed_function_IA_multiple_passes
hybrid_remapped_r16_r32,332422338,3.62633870,9.341533,fixed_function_IA_vertex_rewrite
all_r24,275006583,3.00000000,25.000000,custom_decode_only
all_r16,183337722,2.00000000,50.000000,fixed_function_IA_after_split_or_remap
all_r16_shared_lod_partition_net,193547786,2.11137985,47.215504,fixed_function_IA_shared_lod_vertex_chunks
fetch_remap_hybrid_r16_r32,360274836,3.93017686,1.745579,fixed_function_IA_vertex_reorder
submesh_min_bitpack,223126244,2.43404621,39.148845,custom_decode_only
block_96_range_bitpack,115988905,1.26530322,68.367419,custom_decode_or_predecode
block_255_range_bitpack,125832608,1.37268650,65.682837,custom_decode_or_predecode
block_768_range_bitpack,140238868,1.52984194,61.753952,custom_decode_or_predecode
delta_zigzag_leb128,108948923,1.18850525,70.287369,serial_predecode
meshopt_index_codec,85579546,0.93357270,76.660683,load_time_predecode
meshopt_sequence_codec,103776989,1.13208551,71.697862,load_time_predecode
meshopt_strip_index_codec,85398373,0.93159631,76.710092,load_time_predecode_reordered
