distribution,bucket,count
adjacent_absolute_delta,0,1172141
adjacent_absolute_delta,1,25445297
adjacent_absolute_delta,2-7,42610555
adjacent_absolute_delta,8-15,4702118
adjacent_absolute_delta,16-31,3717219
adjacent_absolute_delta,32-63,1839912
adjacent_absolute_delta,64-127,1227952
adjacent_absolute_delta,128-255,928532
adjacent_absolute_delta,256-1023,763416
adjacent_absolute_delta,1024-4095,4679943
adjacent_absolute_delta,4096-65535,1733162
adjacent_absolute_delta,>65535,2847157
vertices_shared_with_previous_triangle,0,13469131
vertices_shared_with_previous_triangle,1,3858102
vertices_shared_with_previous_triangle,2,13164697
vertices_shared_with_previous_triangle,3,62898
triangle_index_span,0-255,26130434
triangle_index_span,256-1023,329036
triangle_index_span,1024-4095,2037939
triangle_index_span,4096-16383,465764
triangle_index_span,16384-65535,265602
triangle_index_span,65536-262143,477939
triangle_index_span,262144-1048575,181345
triangle_index_span,>1048575,668229
