mesh_id,mesh_name,lod_count,submesh_count,index_count,triangle_count,raw_r32_bytes,hybrid_r16_r32_bytes,meshopt_bytes,non_rebased_u16_submeshes,non_rebased_u16_indices
0,RiverSeedling_01_Translucent,7,21,39744,13248,158976,79488,29825,0,0
1,RiverSeedling_02_Translucent,7,21,39414,13138,157656,78828,29534,0,0
2,RiverSeedling_04_Translucent,7,21,39588,13196,158352,79176,29812,0,0
3,RiverSeedling_03_Translucent,7,21,39699,13233,158796,79398,29900,0,0
4,RiverSeedling_05_Translucent,7,21,39846,13282,159384,79692,29894,0,0
5,RiverSapling_02_Translucent,7,21,596403,198801,2385612,1987920,460913,7,397557
6,RiverSapling_05_Translucent,7,21,555948,185316,2223792,1845792,429093,7,366948
7,RiverSapling_01_Translucent,7,21,597105,199035,2388420,1990560,461375,7,398175
8,RiverSapling_04_Translucent,7,21,658455,219485,2633820,2584224,508364,13,633657
9,RiverSapling_03_Translucent,7,21,600369,200123,2401476,2003640,471602,7,401451
10,RiverForest_03_Animated_Translucent,7,21,1928145,642715,7712580,7551444,1451198,14,1847577
11,RiverForest_01_Animated_Translucent,7,21,1956048,652016,7824192,7663008,1468645,14,1875456
12,RiverForest_05_Animated_Translucent,7,21,1953225,651075,7812900,7652028,1469053,14,1872789
13,QueenForest_02_Animated_Translucent,7,56,2525640,841880,10102560,9733836,1919483,27,2341278
14,QueenForest_05_Animated_Translucent,7,56,2552760,850920,10211040,9844080,1940905,28,2369280
15,QueenForest_06_Animated_Translucent,7,56,3042321,1014107,12169284,11791248,2320117,28,2853303
16,Moss_01,7,7,1401,467,5604,2802,1211,0,0
17,Moss_03,7,7,1338,446,5352,2676,998,0,0
18,Moss_02,7,7,1362,454,5448,2724,1003,0,0
19,Grass_B_02,7,7,10389,3463,41556,20778,6044,0,0
20,Grass_B_03,7,7,7167,2389,28668,14334,4356,0,0
21,Grass_B_05,7,7,9825,3275,39300,19650,5819,0,0
22,Grass_B_01,7,7,4212,1404,16848,8424,2444,0,0
23,Grass_B_04,7,7,14700,4900,58800,29400,8843,0,0
24,Grass_A_06,7,7,8652,2884,34608,17304,5258,0,0
25,Grass_A_04,7,7,13506,4502,54024,27012,8177,0,0
26,Grass_A_02,7,7,27333,9111,109332,54666,15914,0,0
27,Grass_A_03,7,7,35127,11709,140508,70254,20870,0,0
28,Grass_A_05,7,7,7419,2473,29676,14838,4417,0,0
29,Grass_A_01,7,7,37947,12649,151788,75894,21905,0,0
30,Shrub_02,7,7,38883,12961,155532,77766,27003,0,0
31,Shrub_03,7,7,36432,12144,145728,72864,25629,0,0
32,Shrub_01,7,7,21960,7320,87840,43920,15238,0,0
33,Shrub_04,7,7,63840,21280,255360,127680,44464,0,0
34,ShrubSorrel_01_Translucent,7,7,2439,813,9756,4878,1701,0,0
35,ShrubSorrel_05_Translucent,7,7,414,138,1656,828,383,0,0
36,ShrubSorrel_07_Translucent,7,7,390,130,1560,780,371,0,0
37,ShrubSorrel_03_Translucent,7,7,2088,696,8352,4176,1459,0,0
38,ShrubSorrel_06_Translucent,7,7,363,121,1452,726,359,0,0
39,ShrubSorrel_02_Translucent,7,7,1674,558,6696,3348,1187,0,0
40,ShrubSorrel_04_Translucent,7,7,414,138,1656,828,385,0,0
41,Nettle_03_Translucent,7,7,21213,7071,84852,42426,14494,0,0
42,Nettle_02_Translucent,7,7,33456,11152,133824,66912,22593,0,0
43,Nettle_06_Translucent,7,7,47739,15913,190956,95478,32452,0,0
44,Nettle_01_Translucent,7,7,34821,11607,139284,69642,23684,0,0
45,Nettle_04_Translucent,7,7,6417,2139,25668,12834,4291,0,0
46,Nettle_05_Translucent,7,7,41256,13752,165024,82512,27803,0,0
47,Anthurium_05_Translucent,7,7,45276,15092,181104,90552,27123,0,0
48,Anthurium_02_Translucent,7,7,91857,30619,367428,183714,55955,0,0
49,Anthurium_04_Translucent,7,7,61212,20404,244848,122424,36939,0,0
50,Anthurium_03_Translucent,7,7,53601,17867,214404,107202,32542,0,0
51,Anthurium_06_Translucent,7,7,51426,17142,205704,102852,30846,0,0
52,Anthurium_01_Translucent,7,7,93417,31139,373668,186834,56338,0,0
53,M_4x4_03,7,7,491886,163962,1967544,1967544,410337,7,491886
54,M_4x4_01,7,7,491916,163972,1967664,1967664,516471,7,491916
55,M_4x4_02,7,7,491886,163962,1967544,1967544,403935,7,491886
56,M_4x4_04,7,7,491886,163962,1967544,1967544,410142,7,491886
57,M_3x4_03,7,7,491886,163962,1967544,1967544,413862,7,491886
58,M_3x4_01,7,7,491892,163964,1967568,1967568,409488,7,491892
59,M_3x4_02,7,7,491892,163964,1967568,1967568,404923,7,491892
60,M_3x4_04,7,7,491886,163962,1967544,1967544,415675,7,491886
61,M_4x3_03,7,7,491886,163962,1967544,1967544,474168,7,491886
62,M_4x3_01,7,7,491886,163962,1967544,1967544,539974,7,491886
63,M_4x3_02,7,7,491886,163962,1967544,1967544,409585,7,491886
64,M_3x3_04,7,7,491886,163962,1967544,1967544,410304,7,491886
65,M_3x3_03,7,7,491886,163962,1967544,1967544,397355,7,491886
66,M_3x3_01,7,7,491886,163962,1967544,1967544,523256,7,491886
67,M_3x3_02,7,7,491886,163962,1967544,1967544,411963,7,491886
68,M_4x3_04,7,7,491904,163968,1967616,1967616,418942,7,491904
69,E_X2_Y5_43,7,7,482298,160766,1929192,1929192,390667,7,482298
70,E_X1_Y5_42,7,7,482298,160766,1929192,1929192,390002,7,482298
71,E_X0_Y5_41,7,7,482298,160766,1929192,1929192,387781,7,482298
72,E_X0_Y4_33,7,7,482322,160774,1929288,1929288,382842,7,482322
73,E_X1_Y4_34,7,7,482304,160768,1929216,1929216,385920,7,482304
74,E_X2_Y4_35,7,7,482310,160770,1929240,1929240,381475,7,482310
75,E_X5_Y4_38,7,7,482310,160770,1929240,1929240,385373,7,482310
76,E_X6_Y4_39,7,7,482316,160772,1929264,1929264,383240,7,482316
77,E_X7_Y4_40,7,7,482304,160768,1929216,1929216,389341,7,482304
78,E_X7_Y3_32,7,7,482304,160768,1929216,1929216,385671,7,482304
79,E_X6_Y3_31,7,7,482298,160766,1929192,1929192,386441,7,482298
80,E_X5_Y3_30,7,7,482298,160766,1929192,1929192,385035,7,482298
81,E_X2_Y3_27,7,7,482304,160768,1929216,1929216,384979,7,482304
82,E_X1_Y3_26,7,7,482304,160768,1929216,1929216,385949,7,482304
83,E_X0_Y3_25,7,7,482304,160768,1929216,1929216,386010,7,482304
84,E_X0_Y2_17,7,7,482298,160766,1929192,1929192,391327,7,482298
85,E_X1_Y2_18,7,7,482322,160774,1929288,1929288,389085,7,482322
86,E_X2_Y2_19,7,7,482310,160770,1929240,1929240,389535,7,482310
87,E_X3_Y2_20,7,7,482304,160768,1929216,1929216,390357,7,482304
