base_chunk_limit,vertex_offset,vertex_count,mesh_id,mesh_name,base_submesh_id,base_submesh_name,lod_submeshes,shared_vertex_chunks,shared_vertex_refs,duplicate_vertices,draw_ranges,additional_draw_ranges
57344,142338,143766,5,RiverSapling_02_Translucent,107,MI_RiverFamily_Leaves_TwoSided,7,3,147276,3510,21,14
57344,353500,132790,6,RiverSapling_05_Translucent,128,MI_RiverFamily_Leaves_TwoSided,7,3,135851,3061,21,14
57344,557246,144011,7,RiverSapling_01_Translucent,149,MI_RiverFamily_Leaves_TwoSided,7,3,147580,3569,21,14
57344,709451,67312,8,RiverSapling_04_Translucent,169,MI_RiverFamily_Branches,7,2,67317,5,14,7
57344,776763,161406,8,RiverSapling_04_Translucent,170,MI_RiverFamily_Leaves_TwoSided,7,3,165351,3945,21,14
57344,1009206,145383,9,RiverSapling_03_Translucent,191,MI_RiverFamily_Leaves_TwoSided,7,3,148936,3553,21,14
57344,1182771,285964,10,RiverForest_03_Animated_Translucent,211,MI_RiverFamily_Branches,7,5,285972,8,35,28
57344,1468735,383817,10,RiverForest_03_Animated_Translucent,212,MI_RiverFamily_Leaves_TwoSided,7,7,406385,22568,49,42
57344,1880734,289706,11,RiverForest_01_Animated_Translucent,232,MI_RiverFamily_Branches,7,6,289717,11,41,34
57344,2170440,389599,11,RiverForest_01_Animated_Translucent,233,MI_RiverFamily_Leaves_TwoSided,7,7,412229,22630,49,42
57344,2588171,289168,12,RiverForest_05_Animated_Translucent,253,MI_RiverFamily_Branches,7,6,289188,20,41,34
57344,2877339,389599,12,RiverForest_05_Animated_Translucent,254,MI_RiverFamily_Leaves_TwoSided,7,7,411960,22361,49,42
57344,3271984,414800,13,QueenForest_02_Animated_Translucent,274,MI_QueenPalm_Leaves_TwoSided,7,8,415949,1149,56,49
57344,3686784,80136,13,QueenForest_02_Animated_Translucent,275,MI_QueenPalm_FruitBranches,7,2,80147,11,13,6
57344,3824832,82880,13,QueenForest_02_Animated_Translucent,279,MI_QueenPalm_DeadLeaves_TwoSided,7,2,82886,6,14,7
57344,3907712,234600,13,QueenForest_02_Animated_Translucent,280,MI_QueenPalm_Berries,7,5,234677,77,35,28
57344,4147260,417240,14,QueenForest_05_Animated_Translucent,330,MI_QueenPalm_Leaves_TwoSided,7,8,418401,1161,56,49
57344,4564500,80880,14,QueenForest_05_Animated_Translucent,331,MI_QueenPalm_FruitBranches,7,2,80896,16,14,7
57344,4703484,84000,14,QueenForest_05_Animated_Translucent,335,MI_QueenPalm_DeadLeaves_TwoSided,7,2,84008,8,14,7
57344,4787484,240720,14,QueenForest_05_Animated_Translucent,336,MI_QueenPalm_Berries,7,5,240798,78,35,28
57344,5033152,472384,15,QueenForest_06_Animated_Translucent,386,MI_QueenPalm_Leaves_TwoSided,7,9,473583,1199,63,56
57344,5505536,97704,15,QueenForest_06_Animated_Translucent,387,MI_QueenPalm_FruitBranches,7,2,97704,0,14,7
57344,5663216,94920,15,QueenForest_06_Animated_Translucent,391,MI_QueenPalm_DeadLeaves_TwoSided,7,2,95059,139,14,7
57344,5758136,327080,15,QueenForest_06_Animated_Translucent,392,MI_QueenPalm_Berries,7,6,327171,91,42,35
57344,6202066,167590,53,M_4x4_03,700,MI_Terrain_X4_Y4,7,3,174266,6676,21,14
57344,6369656,167238,54,M_4x4_01,707,MI_Terrain_X4_Y4,7,3,173926,6688,21,14
57344,6536894,168352,55,M_4x4_02,714,MI_Terrain_X4_Y4,7,3,174920,6568,21,14
