submesh_id,mesh_id,lod,mesh_name,submesh_name,vertex_offset,vertex_count,index_offset,index_count,triangles,material,flags,min_index,max_index,span,unique_indices,singleton_vertices,max_reuse,bits,direct_u16,rebased_u16,remapped_u16,fixed_bitpack_bytes,block96_bytes,block255_bytes,block768_bytes,meshopt_bytes,meshopt_sequence_bytes,meshopt_strip_bytes,cache16_vertices_transformed,cache16_acmr,cache16_strip_vertices_transformed,cache16_strip_acmr,triangles_span_over_u16,contiguous_u16_chunks,palette_u16_chunks,palette_vertex_refs,fetch_remap_min_index,fetch_remap_max_index,fetch_remap_span,fetch_remap_rebased_u16,fetch_remap_triangles_span_over_u16,fetch_remap_contiguous_u16_chunks
0,0,0,RiverSeedling_01_Translucent,MI_RiverFamily_Branches,0,6132,0,8760,2920,0,0,0,6131,6132,6132,3504,2,13,1,1,1,14243,7999,9029,10968,2937,8765,2937,6150,2.10616438,6150,2.10616438,0,1,1,6132,0,6131,6132,1,0,1
1,0,0,RiverSeedling_01_Translucent,MI_RiverFamily_Trunk,6132,2068,8760,3006,1002,1,0,0,2067,2068,2068,1130,2,12,1,1,1,4517,2759,3102,3702,1019,3011,1019,2070,2.06586826,2070,2.06586826,0,1,1,2068,0,2067,2068,1,0,1
2,0,0,RiverSeedling_01_Translucent,MI_RiverFamily_Leaves_TwoSided,8200,6076,11766,8556,2852,2,3,0,6075,6076,6076,3596,2,13,1,1,1,13912,8202,8811,10751,2869,8561,2869,6224,2.18232819,6224,2.18232819,0,1,1,6076,0,6075,6076,1,0,1
3,0,1,RiverSeedling_01_Translucent,MI_RiverFamily_Branches,0,6132,46666014,4302,1434,0,0,1,6113,6113,2655,1477,6,13,1,1,1,6999,4626,4978,5810,5008,4500,5005,2731,1.90446304,2746,1.91492329,0,1,1,2655,1,6113,6113,1,0,1
4,0,1,RiverSeedling_01_Translucent,MI_RiverFamily_Trunk,6132,2068,46670316,1500,500,1,0,0,2066,2067,888,491,7,12,1,1,1,2258,1712,1769,2079,1784,1711,1774,925,1.85000000,928,1.85600000,0,1,1,888,0,2066,2067,1,0,1
5,0,1,RiverSeedling_01_Translucent,MI_RiverFamily_Leaves_TwoSided,8200,6076,46671816,4278,1426,2,3,1,6064,6064,2910,1951,4,13,1,1,1,6960,4512,4951,5684,5487,4377,5488,2976,2.08695652,2978,2.08835905,0,1,1,2910,1,6064,6064,1,0,1
6,0,2,RiverSeedling_01_Translucent,MI_RiverFamily_Branches,0,6132,46676094,2142,714,0,0,172,6087,5916,1213,649,6,13,1,1,1,3489,2539,2739,3066,2623,2353,2612,1280,1.79271709,1279,1.79131653,0,1,1,1213,172,6087,5916,1,0,1
7,0,2,RiverSeedling_01_Translucent,MI_RiverFamily_Trunk,6132,2068,46678236,750,250,1,0,2,2066,2065,369,180,7,12,1,1,1,1133,954,962,1133,932,955,938,409,1.63600000,415,1.66000000,0,1,1,369,2,2066,2065,1,0,1
8,0,2,RiverSeedling_01_Translucent,MI_RiverFamily_Leaves_TwoSided,8200,6076,46678986,2109,703,2,3,1,6052,6052,726,106,13,13,1,1,1,3436,3304,3327,3284,1784,2302,1737,792,1.12660028,790,1.12375533,0,1,1,726,1,6052,6052,1,0,1
9,0,3,RiverSeedling_01_Translucent,MI_RiverFamily_Branches,0,6132,46681095,1044,348,0,0,172,6057,5886,591,318,6,13,1,1,1,1705,1345,1468,1644,1336,1184,1349,625,1.79597701,632,1.81609195,0,1,1,591,172,6057,5886,1,0,1
