metric,value
scene_version,12
scene_file_bytes,2075237131
vertex_count,32264289
index_count,91668861
triangle_count,30556287
submesh_count,1460
mesh_lod_count,991
mesh_count,169
owner_collisions,0
raw_r32_bytes,366675444
direct_u16_submeshes,678
direct_u16_indices,3200310
rebased_u16_submeshes,678
rebased_u16_indices,3200310
hybrid_r16_r32_bytes,360274836
hybrid_blocker_submeshes,782
hybrid_blocker_indices,88468551
remapped_u16_submeshes,1233
remapped_u16_indices,17126559
remap_hybrid_bytes,332422338
remap_blocker_submeshes,227
remap_blocker_indices,74542302
fixed_submesh_bitpack_bytes,223126244
block96_range_bitpack_bytes,115988905
block255_range_bitpack_bytes,125832608
block768_range_bitpack_bytes,140238868
delta_zigzag_leb128_bytes,108948923
meshopt_index_codec_bytes,85579546
meshopt_sequence_codec_bytes,103776989
meshopt_strip_codec_bytes,85398373
meshopt_encode_nanoseconds,685168700
meshopt_decode_nanoseconds,140951200
meshopt_sequence_encode_nanoseconds,350643900
meshopt_sequence_decode_nanoseconds,152491000
cache16_vertices_transformed,59593508
cache16_strip_vertices_transformed,59673023
triangles_span_over_u16,1327513
palette_chunk_blocker_submeshes,782
palette_chunks_for_blockers,1451
palette_vertex_refs_for_blockers,56325513
palette_source_unique_sum_for_blockers,56313699
palette_duplicate_vertices_for_blockers,11814
palette_gross_vertex_bytes_packed16,901208208
palette_duplicate_vertex_bytes_packed16,189024
shared_vertex_range_count,236
fetch_remap_source_vertices_sum,32264289
fetch_remap_unique_vertices_sum,32264289
fetch_remap_rebased_u16_submeshes,678
fetch_remap_rebased_u16_indices,3200310
fetch_remap_hybrid_r16_r32_bytes,360274836
fetch_remap_triangles_span_over_u16,1327509
fetch_remap_contiguous_u16_chunks,1801867
shared_partition_blocker_groups,112
shared_partition_base_chunk_limit,57344
shared_partition_vertex_chunks,577
shared_partition_source_vertices,31412872
shared_partition_vertex_refs,32051001
shared_partition_duplicate_vertices,638129
shared_partition_extra_vertex_bytes_packed16,10210064
shared_partition_draw_ranges,3963
shared_partition_original_draw_ranges,784
shared_partition_additional_draw_ranges,3179
shared_partition_all_u16_index_plus_extra_vertex_bytes,193547786
analysis_elapsed_ms,6311
