"mesh_lod_id","mesh_id","mesh_name","local_lod","visible_instances","index_count_per_instance","logical_indices","workload_share_percent","direct_r16_logical_indices","remapped_r16_logical_indices","restart_strip_logical_indices","strip_reduction_percent"
"104","14","QueenForest_05_Animated_Translucent","6","10018","12321","123431778","29.319093","9196524","123431778","99859424","19.097476"
"97","13","QueenForest_02_Animated_Translucent","6","9903","12363","122430789","29.081325","20320956","122430789","97782222","20.132654"
"110","15","QueenForest_06_Animated_Translucent","5","506","45783","23166198","5.502731","1445136","23166198","17895702","22.750803"
"89","12","RiverForest_05_Animated_Translucent","5","405","29091","11781855","2.798577","493290","11781855","10059390","14.619642"
"82","11","RiverForest_01_Animated_Translucent","5","395","28791","11372445","2.701328","478740","11372445","9617855","15.428432"
"75","10","RiverForest_03_Animated_Translucent","5","392","28410","11136720","2.645336","475104","11136720","9500512","14.69201"
"96","13","QueenForest_02_Animated_Translucent","5","273","37611","10267803","2.43894","758394","10267803","7878780","23.267129"
"88","12","RiverForest_05_Animated_Translucent","4","172","58218","10013496","2.378533","417960","10013496","8474268","15.371535"
"74","10","RiverForest_03_Animated_Translucent","4","154","57111","8795094","2.089123","375144","8795094","7487634","14.865788"
"81","11","RiverForest_01_Animated_Translucent","4","143","58089","8306727","1.97312","349206","8306727","6981832","15.949663"
"103","14","QueenForest_05_Animated_Translucent","5","211","37851","7986561","1.89707","582360","7986561","6137568","23.151304"
"87","12","RiverForest_05_Animated_Translucent","3","52","115734","6018168","1.429512","253656","6018168","5035888","16.321911"
"80","11","RiverForest_01_Animated_Translucent","3","41","115683","4743003","1.126619","200982","4743003","3943339","16.859867"
"73","10","RiverForest_03_Animated_Translucent","3","40","114630","4585200","1.089135","195360","4585200","3821400","16.657943"
"109","15","QueenForest_06_Animated_Translucent","4","31","91719","2843289","0.675374","178188","2843289","2142596","24.643749"
"20","2","RiverSeedling_04_Translucent","6","13689","198","2710422","0.643814","2710422","2710422","2696733","0.505051"
"13","1","RiverSeedling_02_Translucent","6","13894","195","2709330","0.643555","2709330","2709330","2570390","5.128205"
"27","3","RiverSeedling_03_Translucent","6","14045","189","2654505","0.630532","2654505","2654505","2415740","8.994709"
"34","4","RiverSeedling_05_Translucent","6","14112","183","2582496","0.613427","2582496","2582496","2455488","4.918033"
"6","0","RiverSeedling_01_Translucent","6","13867","174","2412858","0.573133","2412858","2412858","2260321","6.321839"
"209","29","Grass_A_01","6","11385","192","2185920","0.519228","2185920","2185920","1810215","17.1875"
"102","14","QueenForest_05_Animated_Translucent","4","28","76026","2128728","0.505643","156240","2128728","1588468","25.379475"
"84","12","RiverForest_05_Animated_Translucent","0","2","1002915","2005830","0.47645","81744","81744","1786386","10.940309"
"85","12","RiverForest_05_Animated_Translucent","1","4","494751","1979004","0.470078","81696","81696","1992600","-0.687012"
"108","15","QueenForest_06_Animated_Translucent","3","10","184167","1841670","0.437457","115080","1841670","1381770","24.971901"
"95","13","QueenForest_02_Animated_Translucent","4","21","76350","1603350","0.380848","116928","1603350","1189797","25.793058"
"167","23","Grass_B_04","6","22083","72","1589976","0.377671","1589976","1589976","949569","40.277778"
"55","7","RiverSapling_01_Translucent","6","497","3015","1498455","0.355932","503958","1498455","1521814","-1.558872"
"78","11","RiverForest_01_Animated_Translucent","1","3","495099","1485297","0.352807","61380","61380","1493874","-0.57746"
"62","8","RiverSapling_04_Translucent","6","447","3297","1473759","0.350066","477396","1473759","1540362","-4.51926"
"86","12","RiverForest_05_Animated_Translucent","2","6","243141","1458846","0.346524","61272","1458846","1180368","19.088924"
"69","9","RiverSapling_03_Translucent","6","463","2901","1343163","0.319045","452814","1343163","1370480","-2.033781"
"195","27","Grass_A_03","6","7161","177","1267497","0.301072","1267497","1267497","1188726","6.214689"
"125","17","Moss_03","6","206315","6","1237890","0.294039","1237890","1237890","825260","33.333333"
"79","11","RiverForest_01_Animated_Translucent","2","5","245184","1225920","0.291196","51120","726060","987615","19.43887"
"41","5","RiverSapling_02_Translucent","6","412","2952","1216224","0.288893","415296","1216224","1245476","-2.405149"
"153","21","Grass_B_05","6","25061","48","1202928","0.285735","1202928","1202928","952318","20.833333"
"188","26","Grass_A_02","6","8548","138","1179624","0.280199","1179624","1179624","1042856","11.594203"
"48","6","RiverSapling_05_Translucent","6","430","2628","1130040","0.268422","410220","1130040","1124880","0.456621"
"71","10","RiverForest_03_Animated_Translucent","1","2","488835","977670","0.232229","40920","40920","986292","-0.881893"
"94","13","QueenForest_02_Animated_Translucent","3","6","153372","920232","0.218585","66924","920232","681978","25.890645"
"938","134","Pyramid_v1a","0","1","910740","910740","0.216331","124572","124572","767178","15.763226"
"146","20","Grass_B_03","6","21143","36","761148","0.180798","761148","761148","444003","41.666667"
"101","14","QueenForest_05_Animated_Translucent","3","4","154152","616608","0.146465","44688","616608","458244","25.683092"
"181","25","Grass_A_04","6","9231","66","609246","0.144716","609246","609246","526167","13.636364"
"132","18","Moss_02","6","74124","6","444744","0.105641","444744","444744","296496","33.333333"
"118","16","Moss_01","6","70751","6","424506","0.100834","424506","424506","283004","33.333333"
"139","19","Grass_B_02","6","8546","48","410208","0.097438","410208","410208","299110","27.083333"
"61","8","RiverSapling_04_Translucent","5","37","10008","370296","0.087957","13320","370296","358123","3.28737"
"237","33","Shrub_04","6","941","318","299238","0.071079","299238","299238","213607","28.616352"
"47","6","RiverSapling_05_Translucent","5","31","8430","261330","0.062074","89466","261330","250015","4.329775"
"31","4","RiverSeedling_05_Translucent","3","95","2319","220305","0.05233","220305","220305","192280","12.721"
"54","7","RiverSapling_01_Translucent","5","23","9108","209484","0.049759","70242","209484","199226","4.896794"
"17","2","RiverSeedling_04_Translucent","3","88","2361","207768","0.049352","207768","207768","179256","13.722999"
"68","9","RiverSapling_03_Translucent","5","21","8949","187929","0.044639","63630","187929","181209","3.575819"
"40","5","RiverSapling_02_Translucent","5","20","9054","181080","0.043012","60960","181080","174900","3.412856"
