"mesh_id","mesh_name","active_lod_count","visible_instances","logical_indices","workload_share_percent","direct_r16_logical_indices","remapped_r16_logical_indices","restart_strip_logical_indices"
"13","QueenForest_02_Animated_Translucent","4","10203","135222174","32.119698","21263202","135222174","107532777"
"14","QueenForest_05_Animated_Translucent","4","10261","134163675","31.86827","9979812","134163675","108043704"
"12","RiverForest_05_Animated_Translucent","6","641","33257199","7.899675","1389618","29435805","28528900"
"15","QueenForest_06_Animated_Translucent","3","547","27851157","6.615563","1738404","27851157","21420068"
"11","RiverForest_01_Animated_Translucent","5","587","27133392","6.44507","1141428","25209615","23024515"
"10","RiverForest_03_Animated_Translucent","4","588","25494684","6.055823","1086528","24557934","21795838"
"2","RiverSeedling_04_Translucent","4","14017","3128010","0.743005","3128010","3128010","3067419"
"1","RiverSeedling_02_Translucent","4","14126","3014868","0.71613","3014868","3014868","2846098"
"3","RiverSeedling_03_Translucent","5","14304","3010626","0.715122","3010626","3010626","2727989"
"4","RiverSeedling_05_Translucent","5","14375","3004467","0.713659","3004467","3004467","2825633"
"0","RiverSeedling_01_Translucent","5","14131","2801475","0.665442","2801475","2801475","2600230"
"29","Grass_A_01","1","11385","2185920","0.519228","2185920","2185920","1810215"
"8","RiverSapling_04_Translucent","2","484","1844055","0.438024","490716","1844055","1898485"
"7","RiverSapling_01_Translucent","3","521","1744038","0.414266","586140","1744038","1751433"
"23","Grass_B_04","1","22083","1589976","0.377671","1589976","1589976","949569"
"9","RiverSapling_03_Translucent","2","484","1531092","0.363685","516444","1531092","1551689"
"6","RiverSapling_05_Translucent","3","462","1408281","0.334513","505476","1408281","1390087"
"5","RiverSapling_02_Translucent","2","432","1397304","0.331905","476256","1397304","1420376"
"17","Moss_03","2","213490","1367040","0.324717","1367040","1367040","897010"
"27","Grass_A_03","1","7161","1267497","0.301072","1267497","1267497","1188726"
"21","Grass_B_05","1","25061","1202928","0.285735","1202928","1202928","952318"
"26","Grass_A_02","1","8548","1179624","0.280199","1179624","1179624","1042856"
"134","Pyramid_v1a","1","1","910740","0.216331","124572","124572","767178"
"20","Grass_B_03","1","21143","761148","0.180798","761148","761148","444003"
"25","Grass_A_04","1","9231","609246","0.144716","609246","609246","526167"
"18","Moss_02","1","74124","444744","0.105641","444744","444744","296496"
"16","Moss_01","1","70751","424506","0.100834","424506","424506","283004"
"19","Grass_B_02","1","8546","410208","0.097438","410208","410208","299110"
"33","Shrub_04","2","974","331017","0.078627","331017","331017","237664"
"30","Shrub_02","2","916","187728","0.044592","187728","187728","150597"
"28","Grass_A_05","1","4993","179748","0.042696","179748","179748","159776"
