sample,gpu_forward_ms,ia_vertices,ia_primitives,vs_invocations,ps_invocations,visible_instances,active_mesh_lods,logical_indices,list_r32_bytes,list_r16_bytes
0,24.5596,420994533,140331511,234436786,43416301,722037,136,420994533,1683978132,841989066
1,24.0817,420994533,140331511,234436786,43304733,722037,136,420994533,1683978132,841989066
2,24.5786,420994533,140331511,234436786,43428312,722037,136,420994533,1683978132,841989066
3,24.3611,420994533,140331511,234436786,43356843,722037,136,420994533,1683978132,841989066
4,24.4669,420994533,140331511,234436786,43976349,722037,136,420994533,1683978132,841989066
5,24.5433,420994533,140331511,234436786,43291841,722037,136,420994533,1683978132,841989066
6,23.9389,420994533,140331511,234436786,43459656,722037,136,420994533,1683978132,841989066
7,24.0068,420994533,140331511,234436786,43280272,722037,136,420994533,1683978132,841989066
8,23.8583,420994533,140331511,234436786,43462817,722037,136,420994533,1683978132,841989066
9,24.0181,420994533,140331511,234436786,43358377,722037,136,420994533,1683978132,841989066
10,23.7647,420994533,140331511,234436786,43800583,722037,136,420994533,1683978132,841989066
11,24.1613,420994533,140331511,234436786,43847695,722037,136,420994533,1683978132,841989066
12,23.8656,420994533,140331511,234436786,43448072,722037,136,420994533,1683978132,841989066
13,24.0243,420994533,140331511,234436786,43234069,722037,136,420994533,1683978132,841989066
14,23.7983,420994533,140331511,234436786,43290795,722037,136,420994533,1683978132,841989066
15,24.0245,420994533,140331511,234436786,43291270,722037,136,420994533,1683978132,841989066
16,23.7387,420994533,140331511,234436786,43301576,722037,136,420994533,1683978132,841989066
17,24.042,420994533,140331511,234436786,43293897,722037,136,420994533,1683978132,841989066
18,23.7432,420994533,140331511,234436786,43440670,722037,136,420994533,1683978132,841989066
19,24.0157,420994533,140331511,234436786,43324112,722037,136,420994533,1683978132,841989066
20,23.8508,420994533,140331511,234436786,43312775,722037,136,420994533,1683978132,841989066
21,24.0698,420994533,140331511,234436786,43328719,722037,136,420994533,1683978132,841989066
22,23.8772,420994533,140331511,234436786,44049363,722037,136,420994533,1683978132,841989066
23,24.0313,420994533,140331511,234436786,43249351,722037,136,420994533,1683978132,841989066
24,23.7391,420994533,140331511,234436786,43347710,722037,136,420994533,1683978132,841989066
25,24.0957,420994533,140331511,234436786,43330545,722037,136,420994533,1683978132,841989066
26,23.8165,420994533,140331511,234436786,43377384,722037,136,420994533,1683978132,841989066
27,24.0432,420994533,140331511,234436786,43350393,722037,136,420994533,1683978132,841989066
28,23.8994,420994533,140331511,234436786,43439499,722037,136,420994533,1683978132,841989066
29,24.0712,420994533,140331511,234436786,43326014,722037,136,420994533,1683978132,841989066
30,23.8944,420994533,140331511,234436786,43465817,722037,136,420994533,1683978132,841989066
31,24.0525,420994533,140331511,234436786,43430825,722037,136,420994533,1683978132,841989066
32,23.8251,420994533,140331511,234436786,43844592,722037,136,420994533,1683978132,841989066
33,24.0545,420994533,140331511,234436786,43293537,722037,136,420994533,1683978132,841989066
34,23.9599,420994533,140331511,234436786,43375195,722037,136,420994533,1683978132,841989066
35,24.0616,420994533,140331511,234436786,43425108,722037,136,420994533,1683978132,841989066
36,23.9458,420994533,140331511,234436786,43901603,722037,136,420994533,1683978132,841989066
37,24.1224,420994533,140331511,234436786,43854798,722037,136,420994533,1683978132,841989066
38,23.8818,420994533,140331511,234436786,43314496,722037,136,420994533,1683978132,841989066
39,23.977,420994533,140331511,234436786,43268876,722037,136,420994533,1683978132,841989066
40,24.0319,420994533,140331511,234436786,43302555,722037,136,420994533,1683978132,841989066
41,24.051,420994533,140331511,234436786,43485547,722037,136,420994533,1683978132,841989066
42,23.7565,420994533,140331511,234436786,43470697,722037,136,420994533,1683978132,841989066
43,24.041,420994533,140331511,234436786,43336439,722037,136,420994533,1683978132,841989066
44,23.882,420994533,140331511,234436786,43330092,722037,136,420994533,1683978132,841989066
45,24.1708,420994533,140331511,234436786,43353413,722037,136,420994533,1683978132,841989066
46,23.8836,420994533,140331511,234436786,43828052,722037,136,420994533,1683978132,841989066
47,24.1794,420994533,140331511,234436786,43853434,722037,136,420994533,1683978132,841989066
48,23.7544,420994533,140331511,234436786,43346832,722037,136,420994533,1683978132,841989066
49,23.9084,420994533,140331511,234436786,43308979,722037,136,420994533,1683978132,841989066
50,23.7768,420994533,140331511,234436786,43812783,722037,136,420994533,1683978132,841989066
51,24.1876,420994533,140331511,234436786,43883150,722037,136,420994533,1683978132,841989066
52,23.8141,420994533,140331511,234436786,43352627,722037,136,420994533,1683978132,841989066
53,24.0615,420994533,140331511,234436786,43263141,722037,136,420994533,1683978132,841989066
54,23.7497,420994533,140331511,234436786,43346035,722037,136,420994533,1683978132,841989066
55,24.0606,420994533,140331511,234436786,44304708,722037,136,420994533,1683978132,841989066
56,23.7581,420994533,140331511,234436786,43325637,722037,136,420994533,1683978132,841989066
57,24.0853,420994533,140331511,234436786,43340241,722037,136,420994533,1683978132,841989066
58,23.8745,420994533,140331511,234436786,43336578,722037,136,420994533,1683978132,841989066
59,23.959,420994533,140331511,234436786,43446924,722037,136,420994533,1683978132,841989066
60,23.8939,420994533,140331511,234436786,43327117,722037,136,420994533,1683978132,841989066
61,23.7629,420994533,140331511,234436786,43264238,722037,136,420994533,1683978132,841989066
62,24.0219,420994533,140331511,234436786,43352557,722037,136,420994533,1683978132,841989066
63,23.9865,420994533,140331511,234436786,43283518,722037,136,420994533,1683978132,841989066
64,24.0777,420994533,140331511,234436786,43309723,722037,136,420994533,1683978132,841989066
65,23.9864,420994533,140331511,234436786,43296141,722037,136,420994533,1683978132,841989066
66,23.9683,420994533,140331511,234436786,43813040,722037,136,420994533,1683978132,841989066
67,23.9738,420994533,140331511,234436786,43322267,722037,136,420994533,1683978132,841989066
68,23.9465,420994533,140331511,234436786,43343053,722037,136,420994533,1683978132,841989066
69,23.787,420994533,140331511,234436786,43337837,722037,136,420994533,1683978132,841989066
70,24.0351,420994533,140331511,234436786,43863447,722037,136,420994533,1683978132,841989066
71,23.7645,420994533,140331511,234436786,43430755,722037,136,420994533,1683978132,841989066
72,24.0728,420994533,140331511,234436786,43293771,722037,136,420994533,1683978132,841989066
73,23.956,420994533,140331511,234436786,43324611,722037,136,420994533,1683978132,841989066
74,23.955,420994533,140331511,234436786,43314892,722037,136,420994533,1683978132,841989066
75,23.9787,420994533,140331511,234436786,43272499,722037,136,420994533,1683978132,841989066
76,24.0048,420994533,140331511,234436786,43964875,722037,136,420994533,1683978132,841989066
77,24.0709,420994533,140331511,234436786,43279897,722037,136,420994533,1683978132,841989066
78,24.1028,420994533,140331511,234436786,43823913,722037,136,420994533,1683978132,841989066
79,24.1141,420994533,140331511,234436786,43472144,722037,136,420994533,1683978132,841989066
80,23.9166,420994533,140331511,234436786,43317468,722037,136,420994533,1683978132,841989066
81,23.878,420994533,140331511,234436786,43290810,722037,136,420994533,1683978132,841989066
82,23.9916,420994533,140331511,234436786,43366324,722037,136,420994533,1683978132,841989066
83,23.9988,420994533,140331511,234436786,43999900,722037,136,420994533,1683978132,841989066
84,23.9633,420994533,140331511,234436786,43814997,722037,136,420994533,1683978132,841989066
85,23.9629,420994533,140331511,234436786,43337877,722037,136,420994533,1683978132,841989066
86,23.9817,420994533,140331511,234436786,43825606,722037,136,420994533,1683978132,841989066
87,23.7836,420994533,140331511,234436786,43344218,722037,136,420994533,1683978132,841989066
88,23.9364,420994533,140331511,234436786,43279582,722037,136,420994533,1683978132,841989066
89,23.7535,420994533,140331511,234436786,43300426,722037,136,420994533,1683978132,841989066
90,23.9439,420994533,140331511,234436786,43315687,722037,136,420994533,1683978132,841989066
91,24.1788,420994533,140331511,234436786,43307881,722037,136,420994533,1683978132,841989066
92,23.8867,420994533,140331511,234436786,43867397,722037,136,420994533,1683978132,841989066
93,23.9833,420994533,140331511,234436786,43255387,722037,136,420994533,1683978132,841989066
94,23.9796,420994533,140331511,234436786,43422471,722037,136,420994533,1683978132,841989066
95,24.1445,420994533,140331511,234436786,43470457,722037,136,420994533,1683978132,841989066
96,23.8992,420994533,140331511,234436786,43453307,722037,136,420994533,1683978132,841989066
97,24.1767,420994533,140331511,234436786,43362234,722037,136,420994533,1683978132,841989066
98,23.8966,420994533,140331511,234436786,43456900,722037,136,420994533,1683978132,841989066
99,24.0848,420994533,140331511,234436786,43339261,722037,136,420994533,1683978132,841989066
100,24.0408,420994533,140331511,234436786,43841269,722037,136,420994533,1683978132,841989066
101,23.99,420994533,140331511,234436786,43345892,722037,136,420994533,1683978132,841989066
102,24.0194,420994533,140331511,234436786,43453344,722037,136,420994533,1683978132,841989066
103,23.9741,420994533,140331511,234436786,43322291,722037,136,420994533,1683978132,841989066
104,23.9587,420994533,140331511,234436786,43328084,722037,136,420994533,1683978132,841989066
105,23.7804,420994533,140331511,234436786,43310312,722037,136,420994533,1683978132,841989066
106,24.0351,420994533,140331511,234436786,43821194,722037,136,420994533,1683978132,841989066
107,23.976,420994533,140331511,234436786,43302972,722037,136,420994533,1683978132,841989066
108,23.9515,420994533,140331511,234436786,43287275,722037,136,420994533,1683978132,841989066
109,23.9667,420994533,140331511,234436786,43481278,722037,136,420994533,1683978132,841989066
110,23.9872,420994533,140331511,234436786,43406555,722037,136,420994533,1683978132,841989066
111,23.9747,420994533,140331511,234436786,43341094,722037,136,420994533,1683978132,841989066
112,23.9833,420994533,140331511,234436786,43964327,722037,136,420994533,1683978132,841989066
113,23.7813,420994533,140331511,234436786,43277053,722037,136,420994533,1683978132,841989066
114,23.9826,420994533,140331511,234436786,43867852,722037,136,420994533,1683978132,841989066
115,23.767,420994533,140331511,234436786,43435669,722037,136,420994533,1683978132,841989066
116,24.0204,420994533,140331511,234436786,43305548,722037,136,420994533,1683978132,841989066
117,23.7754,420994533,140331511,234436786,43259481,722037,136,420994533,1683978132,841989066
118,23.9147,420994533,140331511,234436786,43980889,722037,136,420994533,1683978132,841989066
119,23.8124,420994533,140331511,234436786,43297160,722037,136,420994533,1683978132,841989066
120,24.0326,420994533,140331511,234436786,43264550,722037,136,420994533,1683978132,841989066
121,24.0496,420994533,140331511,234436786,43330046,722037,136,420994533,1683978132,841989066
122,23.7666,420994533,140331511,234436786,43474311,722037,136,420994533,1683978132,841989066
123,23.9662,420994533,140331511,234436786,43408210,722037,136,420994533,1683978132,841989066
124,23.9116,420994533,140331511,234436786,43850754,722037,136,420994533,1683978132,841989066
125,23.7473,420994533,140331511,234436786,43404751,722037,136,420994533,1683978132,841989066
126,24.0352,420994533,140331511,234436786,43521075,722037,136,420994533,1683978132,841989066
127,23.7618,420994533,140331511,234436786,43474555,722037,136,420994533,1683978132,841989066
128,24.072,420994533,140331511,234436786,43429668,722037,136,420994533,1683978132,841989066
129,24.0666,420994533,140331511,234436786,43387914,722037,136,420994533,1683978132,841989066
130,23.8754,420994533,140331511,234436786,43313328,722037,136,420994533,1683978132,841989066
131,24.1128,420994533,140331511,234436786,43309116,722037,136,420994533,1683978132,841989066
132,23.9679,420994533,140331511,234436786,43780856,722037,136,420994533,1683978132,841989066
133,23.7924,420994533,140331511,234436786,43305987,722037,136,420994533,1683978132,841989066
