mesh_lod_id,mesh_id,local_lod,mesh_name,submesh_offset,submesh_count,list_indices,direct_r16_indices,rebased_r16_indices,remapped_r16_indices,restart_strip_indices
0,0,0,RiverSeedling_01_Translucent,0,3,20322,20322,20322,20322,18024
1,0,1,RiverSeedling_01_Translucent,3,3,10080,10080,10080,10080,9924
2,0,2,RiverSeedling_01_Translucent,6,3,5001,5001,5001,5001,4148
3,0,3,RiverSeedling_01_Translucent,9,3,2409,2409,2409,2409,2083
4,0,4,RiverSeedling_01_Translucent,12,3,1164,1164,1164,1164,1025
5,0,5,RiverSeedling_01_Translucent,15,3,594,594,594,594,558
6,0,6,RiverSeedling_01_Translucent,18,3,174,174,174,174,163
7,1,0,RiverSeedling_02_Translucent,21,3,20253,20253,20253,20253,17962
8,1,1,RiverSeedling_02_Translucent,24,3,10047,10047,10047,10047,9713
9,1,2,RiverSeedling_02_Translucent,27,3,4977,4977,4977,4977,4102
10,1,3,RiverSeedling_02_Translucent,30,3,2301,2301,2301,2301,2039
11,1,4,RiverSeedling_02_Translucent,33,3,1101,1101,1101,1101,1005
12,1,5,RiverSeedling_02_Translucent,36,3,540,540,540,540,510
13,1,6,RiverSeedling_02_Translucent,39,3,195,195,195,195,185
14,2,0,RiverSeedling_04_Translucent,42,3,20322,20322,20322,20322,18024
15,2,1,RiverSeedling_04_Translucent,45,3,10110,10110,10110,10110,9857
16,2,2,RiverSeedling_04_Translucent,48,3,4797,4797,4797,4797,4067
17,2,3,RiverSeedling_04_Translucent,51,3,2361,2361,2361,2361,2037
18,2,4,RiverSeedling_04_Translucent,54,3,1209,1209,1209,1209,1082
19,2,5,RiverSeedling_04_Translucent,57,3,591,591,591,591,557
20,2,6,RiverSeedling_04_Translucent,60,3,198,198,198,198,197
21,3,0,RiverSeedling_03_Translucent,63,3,20322,20322,20322,20322,18024
22,3,1,RiverSeedling_03_Translucent,66,3,10104,10104,10104,10104,9898
23,3,2,RiverSeedling_03_Translucent,69,3,4986,4986,4986,4986,4195
24,3,3,RiverSeedling_03_Translucent,72,3,2319,2319,2319,2319,1999
25,3,4,RiverSeedling_03_Translucent,75,3,1182,1182,1182,1182,1049
26,3,5,RiverSeedling_03_Translucent,78,3,597,597,597,597,541
27,3,6,RiverSeedling_03_Translucent,81,3,189,189,189,189,172
28,4,0,RiverSeedling_05_Translucent,84,3,20391,20391,20391,20391,18086
29,4,1,RiverSeedling_05_Translucent,87,3,10125,10125,10125,10125,9906
30,4,2,RiverSeedling_05_Translucent,90,3,5058,5058,5058,5058,4217
31,4,3,RiverSeedling_05_Translucent,93,3,2319,2319,2319,2319,2024
32,4,4,RiverSeedling_05_Translucent,96,3,1176,1176,1176,1176,1068
33,4,5,RiverSeedling_05_Translucent,99,3,594,594,594,594,529
34,4,6,RiverSeedling_05_Translucent,102,3,183,183,183,183,174
35,5,0,RiverSapling_02_Translucent,105,3,304368,101922,101922,101922,271355
36,5,1,RiverSapling_02_Translucent,108,3,150882,49662,49662,49662,153692
37,5,2,RiverSapling_02_Translucent,111,3,75297,25182,25182,75297,58178
38,5,3,RiverSapling_02_Translucent,114,3,35697,11946,11946,35697,30074
39,5,4,RiverSapling_02_Translucent,117,3,18153,6078,6078,18153,16621
40,5,5,RiverSapling_02_Translucent,120,3,9054,3048,3048,9054,8745
41,5,6,RiverSapling_02_Translucent,123,3,2952,1008,1008,2952,3023
42,6,0,RiverSapling_05_Translucent,126,3,283812,96822,96822,96822,252974
