sample,gpu_forward_ms,ia_vertices,ia_primitives,vs_invocations,ps_invocations,visible_instances,active_mesh_lods,logical_indices,list_r32_bytes,list_r16_bytes
0,21.2711,420994533,140331511,206732558,41942926,722037,136,420994533,1683978132,841989066
1,21.6221,420994533,140331511,206732558,41931828,722037,136,420994533,1683978132,841989066
2,21.3803,420994533,140331511,206732558,41951972,722037,136,420994533,1683978132,841989066
3,21.2498,420994533,140331511,206732558,41992073,722037,136,420994533,1683978132,841989066
4,21.7261,420994533,140331511,206732558,41995831,722037,136,420994533,1683978132,841989066
5,21.2308,420994533,140331511,206732558,41940251,722037,136,420994533,1683978132,841989066
6,21.2355,420994533,140331511,206732558,41966224,722037,136,420994533,1683978132,841989066
7,21.6247,420994533,140331511,206732558,41940782,722037,136,420994533,1683978132,841989066
8,20.845,420994533,140331511,206732558,42009017,722037,136,420994533,1683978132,841989066
9,20.8901,420994533,140331511,206732558,42000784,722037,136,420994533,1683978132,841989066
10,21.2032,420994533,140331511,206732558,41997273,722037,136,420994533,1683978132,841989066
11,20.8569,420994533,140331511,206732558,42061175,722037,136,420994533,1683978132,841989066
12,20.8714,420994533,140331511,206732558,42010300,722037,136,420994533,1683978132,841989066
13,21.2123,420994533,140331511,206732558,41977791,722037,136,420994533,1683978132,841989066
14,20.8519,420994533,140331511,206732558,42053521,722037,136,420994533,1683978132,841989066
15,20.9784,420994533,140331511,206732558,42041551,722037,136,420994533,1683978132,841989066
16,21.1775,420994533,140331511,206732558,41980190,722037,136,420994533,1683978132,841989066
17,20.8766,420994533,140331511,206732558,42039469,722037,136,420994533,1683978132,841989066
18,20.8707,420994533,140331511,206732558,42043755,722037,136,420994533,1683978132,841989066
19,20.8732,420994533,140331511,206732558,42063190,722037,136,420994533,1683978132,841989066
20,20.853,420994533,140331511,206732558,41987046,722037,136,420994533,1683978132,841989066
21,20.8801,420994533,140331511,206732558,42039603,722037,136,420994533,1683978132,841989066
22,20.936,420994533,140331511,206732558,42058337,722037,136,420994533,1683978132,841989066
23,21.2869,420994533,140331511,206732558,42024724,722037,136,420994533,1683978132,841989066
24,20.8535,420994533,140331511,206732558,42021406,722037,136,420994533,1683978132,841989066
25,20.8735,420994533,140331511,206732558,41997179,722037,136,420994533,1683978132,841989066
26,21.3431,420994533,140331511,206732558,42044476,722037,136,420994533,1683978132,841989066
27,20.8926,420994533,140331511,206732558,42012531,722037,136,420994533,1683978132,841989066
28,20.8482,420994533,140331511,206732558,42026432,722037,136,420994533,1683978132,841989066
29,21.2063,420994533,140331511,206732558,42038966,722037,136,420994533,1683978132,841989066
30,20.854,420994533,140331511,206732558,42016494,722037,136,420994533,1683978132,841989066
31,20.867,420994533,140331511,206732558,42019251,722037,136,420994533,1683978132,841989066
32,21.1956,420994533,140331511,206732558,42063686,722037,136,420994533,1683978132,841989066
33,20.8545,420994533,140331511,206732558,41951595,722037,136,420994533,1683978132,841989066
34,20.8649,420994533,140331511,206732558,42018799,722037,136,420994533,1683978132,841989066
35,21.177,420994533,140331511,206732558,42024568,722037,136,420994533,1683978132,841989066
36,20.8571,420994533,140331511,206732558,42065021,722037,136,420994533,1683978132,841989066
37,20.8699,420994533,140331511,206732558,42019403,722037,136,420994533,1683978132,841989066
38,21.1133,420994533,140331511,206732558,42041058,722037,136,420994533,1683978132,841989066
39,20.9244,420994533,140331511,206732558,42024081,722037,136,420994533,1683978132,841989066
40,20.847,420994533,140331511,206732558,42037761,722037,136,420994533,1683978132,841989066
41,21.1196,420994533,140331511,206732558,42029885,722037,136,420994533,1683978132,841989066
42,21.1122,420994533,140331511,206732558,42030959,722037,136,420994533,1683978132,841989066
43,20.9724,420994533,140331511,206732558,42027047,722037,136,420994533,1683978132,841989066
44,20.858,420994533,140331511,206732558,42058558,722037,136,420994533,1683978132,841989066
45,21.4067,420994533,140331511,206732558,42051905,722037,136,420994533,1683978132,841989066
46,20.8371,420994533,140331511,206732558,42041752,722037,136,420994533,1683978132,841989066
47,20.8834,420994533,140331511,206732558,42041619,722037,136,420994533,1683978132,841989066
48,21.1724,420994533,140331511,206732558,42045481,722037,136,420994533,1683978132,841989066
49,20.8756,420994533,140331511,206732558,41963650,722037,136,420994533,1683978132,841989066
50,20.8941,420994533,140331511,206732558,42039437,722037,136,420994533,1683978132,841989066
51,21.3508,420994533,140331511,206732558,42022826,722037,136,420994533,1683978132,841989066
52,20.8579,420994533,140331511,206732558,42025698,722037,136,420994533,1683978132,841989066
53,20.8724,420994533,140331511,206732558,42033066,722037,136,420994533,1683978132,841989066
54,21.2926,420994533,140331511,206732558,42024894,722037,136,420994533,1683978132,841989066
