sample,gpu_forward_ms,ia_vertices,ia_primitives,vs_invocations,ps_invocations,visible_instances,active_mesh_lods,logical_indices,list_r32_bytes,list_r16_bytes
0,22.5746,420994533,140331511,218801672,43033144,722037,136,420994533,1683978132,841989066
1,22.982,420994533,140331511,218801672,43487263,722037,136,420994533,1683978132,841989066
2,22.5151,420994533,140331511,218801672,43025136,722037,136,420994533,1683978132,841989066
3,22.5628,420994533,140331511,218801672,42975958,722037,136,420994533,1683978132,841989066
4,22.7383,420994533,140331511,218801672,43626913,722037,136,420994533,1683978132,841989066
5,22.5459,420994533,140331511,218801672,43053431,722037,136,420994533,1683978132,841989066
6,22.942,420994533,140331511,218801672,43189217,722037,136,420994533,1683978132,841989066
7,22.6126,420994533,140331511,218801672,43141116,722037,136,420994533,1683978132,841989066
8,22.8707,420994533,140331511,218801672,43667108,722037,136,420994533,1683978132,841989066
9,22.8298,420994533,140331511,218801672,43050126,722037,136,420994533,1683978132,841989066
10,22.4295,420994533,140331511,218801672,43028311,722037,136,420994533,1683978132,841989066
11,22.1342,420994533,140331511,218801672,42993909,722037,136,420994533,1683978132,841989066
12,22.2741,420994533,140331511,218801672,43518422,722037,136,420994533,1683978132,841989066
13,22.1622,420994533,140331511,218801672,43079727,722037,136,420994533,1683978132,841989066
14,22.1757,420994533,140331511,218801672,42975782,722037,136,420994533,1683978132,841989066
15,22.4846,420994533,140331511,218801672,43585850,722037,136,420994533,1683978132,841989066
16,22.1509,420994533,140331511,218801672,43097877,722037,136,420994533,1683978132,841989066
17,22.1657,420994533,140331511,218801672,43113511,722037,136,420994533,1683978132,841989066
18,22.1765,420994533,140331511,218801672,43545999,722037,136,420994533,1683978132,841989066
19,22.1697,420994533,140331511,218801672,43005831,722037,136,420994533,1683978132,841989066
20,22.4484,420994533,140331511,218801672,43561588,722037,136,420994533,1683978132,841989066
21,22.1263,420994533,140331511,218801672,43061973,722037,136,420994533,1683978132,841989066
22,22.1844,420994533,140331511,218801672,43573232,722037,136,420994533,1683978132,841989066
23,22.1563,420994533,140331511,218801672,42978039,722037,136,420994533,1683978132,841989066
24,22.1696,420994533,140331511,218801672,43091185,722037,136,420994533,1683978132,841989066
25,22.4837,420994533,140331511,218801672,43238248,722037,136,420994533,1683978132,841989066
26,22.1427,420994533,140331511,218801672,43515536,722037,136,420994533,1683978132,841989066
27,22.3537,420994533,140331511,218801672,43142245,722037,136,420994533,1683978132,841989066
28,22.1688,420994533,140331511,218801672,43561621,722037,136,420994533,1683978132,841989066
29,22.2579,420994533,140331511,218801672,43066878,722037,136,420994533,1683978132,841989066
30,22.5036,420994533,140331511,218801672,43544271,722037,136,420994533,1683978132,841989066
31,22.1868,420994533,140331511,218801672,43641986,722037,136,420994533,1683978132,841989066
32,22.3578,420994533,140331511,218801672,43088706,722037,136,420994533,1683978132,841989066
33,22.1522,420994533,140331511,218801672,43034346,722037,136,420994533,1683978132,841989066
34,22.2826,420994533,140331511,218801672,43520185,722037,136,420994533,1683978132,841989066
35,22.4985,420994533,140331511,218801672,42959960,722037,136,420994533,1683978132,841989066
36,22.2444,420994533,140331511,218801672,43673790,722037,136,420994533,1683978132,841989066
37,22.4343,420994533,140331511,218801672,43197597,722037,136,420994533,1683978132,841989066
38,22.1818,420994533,140331511,218801672,43717404,722037,136,420994533,1683978132,841989066
39,22.2074,420994533,140331511,218801672,43073536,722037,136,420994533,1683978132,841989066
40,22.4752,420994533,140331511,218801672,43198113,722037,136,420994533,1683978132,841989066
41,22.1341,420994533,140331511,218801672,43145747,722037,136,420994533,1683978132,841989066
42,22.4414,420994533,140331511,218801672,43571989,722037,136,420994533,1683978132,841989066
43,22.146,420994533,140331511,218801672,43572797,722037,136,420994533,1683978132,841989066
44,22.3411,420994533,140331511,218801672,43163278,722037,136,420994533,1683978132,841989066
45,22.5142,420994533,140331511,218801672,43064165,722037,136,420994533,1683978132,841989066
46,22.202,420994533,140331511,218801672,43039554,722037,136,420994533,1683978132,841989066
47,22.4236,420994533,140331511,218801672,43007793,722037,136,420994533,1683978132,841989066
48,22.1716,420994533,140331511,218801672,43170207,722037,136,420994533,1683978132,841989066
49,22.1476,420994533,140331511,218801672,43178084,722037,136,420994533,1683978132,841989066
50,22.4663,420994533,140331511,218801672,43571869,722037,136,420994533,1683978132,841989066
51,22.1806,420994533,140331511,218801672,43083234,722037,136,420994533,1683978132,841989066
52,22.497,420994533,140331511,218801672,43196113,722037,136,420994533,1683978132,841989066
53,22.1436,420994533,140331511,218801672,43051893,722037,136,420994533,1683978132,841989066
54,22.1759,420994533,140331511,218801672,43071649,722037,136,420994533,1683978132,841989066
55,22.4678,420994533,140331511,218801672,43183872,722037,136,420994533,1683978132,841989066
56,22.1467,420994533,140331511,218801672,43552646,722037,136,420994533,1683978132,841989066
57,22.4788,420994533,140331511,218801672,43053942,722037,136,420994533,1683978132,841989066
58,22.2021,420994533,140331511,218801672,43678796,722037,136,420994533,1683978132,841989066
59,22.1363,420994533,140331511,218801672,43096754,722037,136,420994533,1683978132,841989066
60,22.5154,420994533,140331511,218801672,43235649,722037,136,420994533,1683978132,841989066
61,22.1723,420994533,140331511,218801672,43164008,722037,136,420994533,1683978132,841989066
62,22.4766,420994533,140331511,218801672,43527754,722037,136,420994533,1683978132,841989066
63,22.1714,420994533,140331511,218801672,43041416,722037,136,420994533,1683978132,841989066
64,22.2016,420994533,140331511,218801672,43622324,722037,136,420994533,1683978132,841989066
65,22.4869,420994533,140331511,218801672,43165979,722037,136,420994533,1683978132,841989066
66,22.1496,420994533,140331511,218801672,43041162,722037,136,420994533,1683978132,841989066
67,22.4999,420994533,140331511,218801672,43534609,722037,136,420994533,1683978132,841989066
68,22.2347,420994533,140331511,218801672,43204358,722037,136,420994533,1683978132,841989066
69,22.1845,420994533,140331511,218801672,43042172,722037,136,420994533,1683978132,841989066
70,22.5169,420994533,140331511,218801672,43081135,722037,136,420994533,1683978132,841989066
71,22.1693,420994533,140331511,218801672,43062921,722037,136,420994533,1683978132,841989066
72,22.1813,420994533,140331511,218801672,43066283,722037,136,420994533,1683978132,841989066
73,22.2142,420994533,140331511,218801672,43057081,722037,136,420994533,1683978132,841989066
74,22.3289,420994533,140331511,218801672,43079060,722037,136,420994533,1683978132,841989066
75,22.5081,420994533,140331511,218801672,43026573,722037,136,420994533,1683978132,841989066
76,22.1646,420994533,140331511,218801672,43530028,722037,136,420994533,1683978132,841989066
77,22.1788,420994533,140331511,218801672,43097778,722037,136,420994533,1683978132,841989066
78,22.1626,420994533,140331511,218801672,43035873,722037,136,420994533,1683978132,841989066
79,22.174,420994533,140331511,218801672,43036355,722037,136,420994533,1683978132,841989066
80,22.4859,420994533,140331511,218801672,43532786,722037,136,420994533,1683978132,841989066
81,22.2333,420994533,140331511,218801672,43056228,722037,136,420994533,1683978132,841989066
82,22.1819,420994533,140331511,218801672,43033432,722037,136,420994533,1683978132,841989066
83,22.3053,420994533,140331511,218801672,43034375,722037,136,420994533,1683978132,841989066
84,22.1391,420994533,140331511,218801672,43056165,722037,136,420994533,1683978132,841989066
85,22.5018,420994533,140331511,218801672,43178349,722037,136,420994533,1683978132,841989066
86,22.1326,420994533,140331511,218801672,43016629,722037,136,420994533,1683978132,841989066
87,22.2649,420994533,140331511,218801672,43077741,722037,136,420994533,1683978132,841989066
88,22.201,420994533,140331511,218801672,43209527,722037,136,420994533,1683978132,841989066
89,22.3093,420994533,140331511,218801672,43020386,722037,136,420994533,1683978132,841989066
90,22.6087,420994533,140331511,218801672,43048189,722037,136,420994533,1683978132,841989066
91,22.199,420994533,140331511,218801672,43581053,722037,136,420994533,1683978132,841989066
92,22.5554,420994533,140331511,218801672,43591365,722037,136,420994533,1683978132,841989066
93,22.1503,420994533,140331511,218801672,43057205,722037,136,420994533,1683978132,841989066
94,22.2106,420994533,140331511,218801672,43059559,722037,136,420994533,1683978132,841989066
95,22.8392,420994533,140331511,218801672,43164835,722037,136,420994533,1683978132,841989066
96,22.1543,420994533,140331511,218801672,43164323,722037,136,420994533,1683978132,841989066
97,22.4292,420994533,140331511,218801672,43041702,722037,136,420994533,1683978132,841989066
98,22.1668,420994533,140331511,218801672,43045424,722037,136,420994533,1683978132,841989066
99,22.1645,420994533,140331511,218801672,43552615,722037,136,420994533,1683978132,841989066
100,22.4991,420994533,140331511,218801672,43189204,722037,136,420994533,1683978132,841989066
101,22.3373,420994533,140331511,218801672,43122548,722037,136,420994533,1683978132,841989066
102,22.4633,420994533,140331511,218801672,43042619,722037,136,420994533,1683978132,841989066
103,22.1551,420994533,140331511,218801672,43015007,722037,136,420994533,1683978132,841989066
104,22.1774,420994533,140331511,218801672,43725065,722037,136,420994533,1683978132,841989066
105,22.5259,420994533,140331511,218801672,43082469,722037,136,420994533,1683978132,841989066
106,22.3061,420994533,140331511,218801672,43691247,722037,136,420994533,1683978132,841989066
107,22.4906,420994533,140331511,218801672,43085655,722037,136,420994533,1683978132,841989066
108,22.1875,420994533,140331511,218801672,43533667,722037,136,420994533,1683978132,841989066
109,22.2754,420994533,140331511,218801672,43092704,722037,136,420994533,1683978132,841989066
110,22.5767,420994533,140331511,218801672,43046994,722037,136,420994533,1683978132,841989066
111,22.1985,420994533,140331511,218801672,43075004,722037,136,420994533,1683978132,841989066
112,22.6841,420994533,140331511,218801672,43681182,722037,136,420994533,1683978132,841989066
113,22.1791,420994533,140331511,218801672,43093168,722037,136,420994533,1683978132,841989066
114,22.1493,420994533,140331511,218801672,43078128,722037,136,420994533,1683978132,841989066
115,22.2276,420994533,140331511,218801672,43030954,722037,136,420994533,1683978132,841989066
116,22.1566,420994533,140331511,218801672,43561389,722037,136,420994533,1683978132,841989066
117,22.4509,420994533,140331511,218801672,43098687,722037,136,420994533,1683978132,841989066
118,22.2588,420994533,140331511,218801672,43544198,722037,136,420994533,1683978132,841989066
119,22.4979,420994533,140331511,218801672,42945516,722037,136,420994533,1683978132,841989066
120,22.1969,420994533,140331511,218801672,43610398,722037,136,420994533,1683978132,841989066
121,22.2184,420994533,140331511,218801672,43102369,722037,136,420994533,1683978132,841989066
122,22.4501,420994533,140331511,218801672,43217534,722037,136,420994533,1683978132,841989066
123,22.2667,420994533,140331511,218801672,43022879,722037,136,420994533,1683978132,841989066
124,22.5027,420994533,140331511,218801672,43203097,722037,136,420994533,1683978132,841989066
125,22.1389,420994533,140331511,218801672,43054807,722037,136,420994533,1683978132,841989066
126,22.1793,420994533,140331511,218801672,43563929,722037,136,420994533,1683978132,841989066
127,22.1368,420994533,140331511,218801672,43032045,722037,136,420994533,1683978132,841989066
128,22.1616,420994533,140331511,218801672,43082758,722037,136,420994533,1683978132,841989066
129,22.4871,420994533,140331511,218801672,43077920,722037,136,420994533,1683978132,841989066
130,22.1593,420994533,140331511,218801672,43217706,722037,136,420994533,1683978132,841989066
131,22.5397,420994533,140331511,218801672,43073451,722037,136,420994533,1683978132,841989066
132,22.3221,420994533,140331511,218801672,43585883,722037,136,420994533,1683978132,841989066
133,22.2197,420994533,140331511,218801672,43187724,722037,136,420994533,1683978132,841989066
134,22.4724,420994533,140331511,218801672,43695994,722037,136,420994533,1683978132,841989066
135,22.1608,420994533,140331511,218801672,43020593,722037,136,420994533,1683978132,841989066
136,22.4639,420994533,140331511,218801672,43562155,722037,136,420994533,1683978132,841989066
137,22.1539,420994533,140331511,218801672,43033642,722037,136,420994533,1683978132,841989066
138,22.1931,420994533,140331511,218801672,43034524,722037,136,420994533,1683978132,841989066
139,22.4999,420994533,140331511,218801672,43043724,722037,136,420994533,1683978132,841989066
140,22.1692,420994533,140331511,218801672,43052341,722037,136,420994533,1683978132,841989066
141,22.4774,420994533,140331511,218801672,43060210,722037,136,420994533,1683978132,841989066
142,22.1578,420994533,140331511,218801672,43005133,722037,136,420994533,1683978132,841989066
143,22.2184,420994533,140331511,218801672,43113131,722037,136,420994533,1683978132,841989066
144,22.4847,420994533,140331511,218801672,43680947,722037,136,420994533,1683978132,841989066
145,22.1445,420994533,140331511,218801672,43238209,722037,136,420994533,1683978132,841989066
146,22.1631,420994533,140331511,218801672,43519178,722037,136,420994533,1683978132,841989066
147,22.1723,420994533,140331511,218801672,43070340,722037,136,420994533,1683978132,841989066
148,22.1601,420994533,140331511,218801672,43565365,722037,136,420994533,1683978132,841989066
149,22.4704,420994533,140331511,218801672,43215440,722037,136,420994533,1683978132,841989066
150,22.2058,420994533,140331511,218801672,43071522,722037,136,420994533,1683978132,841989066
151,22.4446,420994533,140331511,218801672,43203543,722037,136,420994533,1683978132,841989066
152,22.1597,420994533,140331511,218801672,43564739,722037,136,420994533,1683978132,841989066
153,22.208,420994533,140331511,218801672,43114177,722037,136,420994533,1683978132,841989066
154,22.4263,420994533,140331511,218801672,42993460,722037,136,420994533,1683978132,841989066
155,22.19,420994533,140331511,218801672,43042202,722037,136,420994533,1683978132,841989066
156,22.4724,420994533,140331511,218801672,42991300,722037,136,420994533,1683978132,841989066
157,22.1168,420994533,140331511,218801672,43097045,722037,136,420994533,1683978132,841989066
158,22.3324,420994533,140331511,218801672,43078462,722037,136,420994533,1683978132,841989066
159,22.3252,420994533,140331511,218801672,43549813,722037,136,420994533,1683978132,841989066
160,22.223,420994533,140331511,218801672,43556977,722037,136,420994533,1683978132,841989066
161,22.5623,420994533,140331511,218801672,43039396,722037,136,420994533,1683978132,841989066
162,22.1582,420994533,140331511,218801672,42849165,722037,136,420994533,1683978132,841989066
163,22.3279,420994533,140331511,218801672,43053571,722037,136,420994533,1683978132,841989066
164,22.3131,420994533,140331511,218801672,43059749,722037,136,420994533,1683978132,841989066
165,22.1783,420994533,140331511,218801672,43570249,722037,136,420994533,1683978132,841989066
166,22.4506,420994533,140331511,218801672,43619373,722037,136,420994533,1683978132,841989066
167,22.1634,420994533,140331511,218801672,43081614,722037,136,420994533,1683978132,841989066
168,22.3351,420994533,140331511,218801672,43560581,722037,136,420994533,1683978132,841989066
169,22.1631,420994533,140331511,218801672,43038697,722037,136,420994533,1683978132,841989066
170,22.1989,420994533,140331511,218801672,43706172,722037,136,420994533,1683978132,841989066
171,22.4725,420994533,140331511,218801672,43074257,722037,136,420994533,1683978132,841989066
172,22.1798,420994533,140331511,218801672,43579706,722037,136,420994533,1683978132,841989066
173,22.4381,420994533,140331511,218801672,42990245,722037,136,420994533,1683978132,841989066
174,22.2095,420994533,140331511,218801672,43178198,722037,136,420994533,1683978132,841989066
175,22.177,420994533,140331511,218801672,43590489,722037,136,420994533,1683978132,841989066
176,22.6006,420994533,140331511,218801672,43574019,722037,136,420994533,1683978132,841989066
177,22.1624,420994533,140331511,218801672,43541258,722037,136,420994533,1683978132,841989066
178,22.3096,420994533,140331511,218801672,44158690,722037,136,420994533,1683978132,841989066
179,22.1406,420994533,140331511,218801672,43034122,722037,136,420994533,1683978132,841989066
180,22.3541,420994533,140331511,218801672,43668165,722037,136,420994533,1683978132,841989066
181,22.1458,420994533,140331511,218801672,43063078,722037,136,420994533,1683978132,841989066
182,22.2793,420994533,140331511,218801672,43049750,722037,136,420994533,1683978132,841989066
183,22.5928,420994533,140331511,218801672,43015779,722037,136,420994533,1683978132,841989066
184,22.1633,420994533,140331511,218801672,43590619,722037,136,420994533,1683978132,841989066
185,22.566,420994533,140331511,218801672,43171661,722037,136,420994533,1683978132,841989066
186,22.1743,420994533,140331511,218801672,43046965,722037,136,420994533,1683978132,841989066
187,22.1951,420994533,140331511,218801672,43053480,722037,136,420994533,1683978132,841989066
188,22.4857,420994533,140331511,218801672,43536396,722037,136,420994533,1683978132,841989066
189,22.1487,420994533,140331511,218801672,43095130,722037,136,420994533,1683978132,841989066
190,22.499,420994533,140331511,218801672,43720535,722037,136,420994533,1683978132,841989066
191,22.1571,420994533,140331511,218801672,43200499,722037,136,420994533,1683978132,841989066
192,22.3697,420994533,140331511,218801672,44060284,722037,136,420994533,1683978132,841989066
193,22.518,420994533,140331511,218801672,43038997,722037,136,420994533,1683978132,841989066
194,22.1576,420994533,140331511,218801672,43243146,722037,136,420994533,1683978132,841989066
195,22.534,420994533,140331511,218801672,43192908,722037,136,420994533,1683978132,841989066
196,22.1864,420994533,140331511,218801672,43565935,722037,136,420994533,1683978132,841989066
197,22.1689,420994533,140331511,218801672,43005629,722037,136,420994533,1683978132,841989066
198,22.4801,420994533,140331511,218801672,43562805,722037,136,420994533,1683978132,841989066
199,22.2076,420994533,140331511,218801672,43107243,722037,136,420994533,1683978132,841989066
200,22.4817,420994533,140331511,218801672,43696568,722037,136,420994533,1683978132,841989066
201,22.1438,420994533,140331511,218801672,43054624,722037,136,420994533,1683978132,841989066
202,22.2871,420994533,140331511,218801672,43042412,722037,136,420994533,1683978132,841989066
203,22.4622,420994533,140331511,218801672,43053761,722037,136,420994533,1683978132,841989066
204,22.1724,420994533,140331511,218801672,43236130,722037,136,420994533,1683978132,841989066
205,22.516,420994533,140331511,218801672,43072400,722037,136,420994533,1683978132,841989066
206,22.2567,420994533,140331511,218801672,43533921,722037,136,420994533,1683978132,841989066
207,22.2063,420994533,140331511,218801672,43062073,722037,136,420994533,1683978132,841989066
208,22.5092,420994533,140331511,218801672,43166884,722037,136,420994533,1683978132,841989066
209,22.2857,420994533,140331511,218801672,43035024,722037,136,420994533,1683978132,841989066
210,22.4837,420994533,140331511,218801672,43067550,722037,136,420994533,1683978132,841989066
211,22.1414,420994533,140331511,218801672,43072305,722037,136,420994533,1683978132,841989066
212,22.2725,420994533,140331511,218801672,43051853,722037,136,420994533,1683978132,841989066
213,22.1779,420994533,140331511,218801672,43066166,722037,136,420994533,1683978132,841989066
214,22.1627,420994533,140331511,218801672,43535963,722037,136,420994533,1683978132,841989066
215,22.5269,420994533,140331511,218801672,43580798,722037,136,420994533,1683978132,841989066
216,22.1953,420994533,140331511,218801672,43532535,722037,136,420994533,1683978132,841989066
217,22.4675,420994533,140331511,218801672,43085610,722037,136,420994533,1683978132,841989066
218,22.1668,420994533,140331511,218801672,43062908,722037,136,420994533,1683978132,841989066
219,22.1927,420994533,140331511,218801672,43195911,722037,136,420994533,1683978132,841989066
220,22.5048,420994533,140331511,218801672,43036146,722037,136,420994533,1683978132,841989066
221,22.1614,420994533,140331511,218801672,43027942,722037,136,420994533,1683978132,841989066
222,22.3196,420994533,140331511,218801672,43725532,722037,136,420994533,1683978132,841989066
223,22.1924,420994533,140331511,218801672,43207590,722037,136,420994533,1683978132,841989066
224,22.1629,420994533,140331511,218801672,43584950,722037,136,420994533,1683978132,841989066
225,22.4932,420994533,140331511,218801672,43536314,722037,136,420994533,1683978132,841989066
226,22.1852,420994533,140331511,218801672,43576756,722037,136,420994533,1683978132,841989066
227,22.182,420994533,140331511,218801672,43009269,722037,136,420994533,1683978132,841989066
228,22.6076,420994533,140331511,218801672,43037848,722037,136,420994533,1683978132,841989066
