sample,gpu_forward_ms,ia_vertices,ia_primitives,vs_invocations,ps_invocations,visible_instances,active_mesh_lods,logical_indices,list_r32_bytes,list_r16_bytes
0,24.1751,420994533,140331511,234436786,41913916,722037,136,420994533,1683978132,841989066
1,24.1827,420994533,140331511,234436786,41920096,722037,136,420994533,1683978132,841989066
2,24.2374,420994533,140331511,234436786,41961745,722037,136,420994533,1683978132,841989066
3,24.4132,420994533,140331511,234436786,41920066,722037,136,420994533,1683978132,841989066
4,23.8884,420994533,140331511,234436786,42040339,722037,136,420994533,1683978132,841989066
5,23.5761,420994533,140331511,234436786,41974932,722037,136,420994533,1683978132,841989066
6,23.5881,420994533,140331511,234436786,41975447,722037,136,420994533,1683978132,841989066
7,23.6214,420994533,140331511,234436786,41997767,722037,136,420994533,1683978132,841989066
8,23.6396,420994533,140331511,234436786,42000054,722037,136,420994533,1683978132,841989066
9,23.8572,420994533,140331511,234436786,41966786,722037,136,420994533,1683978132,841989066
10,23.769,420994533,140331511,234436786,42031649,722037,136,420994533,1683978132,841989066
11,23.9099,420994533,140331511,234436786,41996288,722037,136,420994533,1683978132,841989066
12,23.9378,420994533,140331511,234436786,42030606,722037,136,420994533,1683978132,841989066
13,23.6479,420994533,140331511,234436786,42004819,722037,136,420994533,1683978132,841989066
14,23.7147,420994533,140331511,234436786,41934208,722037,136,420994533,1683978132,841989066
15,23.7353,420994533,140331511,234436786,41993823,722037,136,420994533,1683978132,841989066
16,23.9254,420994533,140331511,234436786,41986969,722037,136,420994533,1683978132,841989066
17,23.6521,420994533,140331511,234436786,42018891,722037,136,420994533,1683978132,841989066
18,23.6426,420994533,140331511,234436786,41991662,722037,136,420994533,1683978132,841989066
19,23.7694,420994533,140331511,234436786,42059722,722037,136,420994533,1683978132,841989066
20,23.8524,420994533,140331511,234436786,42001772,722037,136,420994533,1683978132,841989066
21,23.9364,420994533,140331511,234436786,42034022,722037,136,420994533,1683978132,841989066
22,23.6817,420994533,140331511,234436786,42040081,722037,136,420994533,1683978132,841989066
