mesh_id,mesh_name,list_indices,restart_strip_indices,restart_tokens,degenerate_strip_indices,restart_reduction_percent,degenerate_reduction_percent
0,RiverSeedling_01_Translucent,39744,35925,7371,43305,9.608998,-8.959843
1,RiverSeedling_02_Translucent,39414,35516,7275,42765,9.889887,-8.502055
2,RiverSeedling_04_Translucent,39588,35821,7357,43162,9.515510,-9.027988
3,RiverSeedling_03_Translucent,39699,35878,7366,43246,9.624928,-8.934734
4,RiverSeedling_05_Translucent,39846,36004,7378,43389,9.642122,-8.891733
5,RiverSapling_02_Translucent,596403,541688,111172,652766,9.174166,-9.450489
6,RiverSapling_05_Translucent,555948,504447,103542,607833,9.263636,-9.332707
7,RiverSapling_01_Translucent,597105,541654,111133,652761,9.286641,-9.320974
8,RiverSapling_04_Translucent,658455,597038,122459,719483,9.327441,-9.268363
9,RiverSapling_03_Translucent,600369,544896,111786,656515,9.239818,-9.351915
10,RiverForest_03_Animated_Translucent,1928145,1745373,359668,2104255,9.479163,-9.133649
11,RiverForest_01_Animated_Translucent,1956048,1767100,363503,2129628,9.659681,-8.874015
12,RiverForest_05_Animated_Translucent,1953225,1767135,363960,2130430,9.527320,-9.072431
13,QueenForest_02_Animated_Translucent,2525640,2200204,442917,2643334,12.885288,-4.659967
14,QueenForest_05_Animated_Translucent,2552760,2226419,448552,2675475,12.783850,-4.807150
15,QueenForest_06_Animated_Translucent,3042321,2663396,537939,3201571,12.455129,-5.234490
16,Moss_01,1401,798,74,873,43.040685,37.687366
17,Moss_03,1338,778,70,835,41.853513,37.593423
18,Moss_02,1362,785,71,861,42.364170,36.784141
19,Grass_B_02,10389,5358,456,5687,48.426220,45.259409
20,Grass_B_03,7167,3702,311,3928,48.346589,45.193247
21,Grass_B_05,9825,4829,390,5154,50.849873,47.541985
22,Grass_B_01,4212,2140,176,2261,49.192783,46.320038
23,Grass_B_04,14700,7536,637,8008,48.734694,45.523810
24,Grass_A_06,8652,4225,356,4597,51.167360,46.867776
25,Grass_A_04,13506,6984,671,7642,48.289649,43.417740
26,Grass_A_02,27333,13412,1101,14528,50.931109,46.848132
27,Grass_A_03,35127,17096,1453,18650,51.330885,46.906938
28,Grass_A_05,7419,3560,293,3845,52.015096,48.173608
29,Grass_A_01,37947,18257,1514,19935,51.888160,47.466203
30,Shrub_02,38883,21956,2022,23723,43.533164,38.988761
31,Shrub_03,36432,20414,1841,22093,43.966842,39.358256
32,Shrub_01,21960,12381,1134,13328,43.620219,39.307832
33,Shrub_04,63840,35867,3291,38663,43.817356,39.437657
34,ShrubSorrel_01_Translucent,2439,1408,147,1571,42.271423,35.588356
35,ShrubSorrel_05_Translucent,414,235,20,256,43.236715,38.164251
36,ShrubSorrel_07_Translucent,390,222,18,244,43.076923,37.435897
37,ShrubSorrel_03_Translucent,2088,1224,128,1349,41.379310,35.392720
38,ShrubSorrel_06_Translucent,363,211,18,235,41.873278,35.261708
39,ShrubSorrel_02_Translucent,1674,964,98,1074,42.413381,35.842294
40,ShrubSorrel_04_Translucent,414,243,21,261,41.304348,36.956522
41,Nettle_03_Translucent,21213,12151,1253,13381,42.719087,36.920756
42,Nettle_02_Translucent,33456,18928,1878,20576,43.424199,38.498326
43,Nettle_06_Translucent,47739,26952,2700,29595,43.543015,38.006661
44,Nettle_01_Translucent,34821,19560,1943,21563,43.827001,38.074725
45,Nettle_04_Translucent,6417,3536,328,3850,44.896369,40.003117
46,Nettle_05_Translucent,41256,23044,2260,25219,44.143882,38.871922
47,Anthurium_05_Translucent,45276,25246,2423,27854,44.239774,38.479548
48,Anthurium_02_Translucent,91857,51244,4945,56666,44.213288,38.310635
49,Anthurium_04_Translucent,61212,34169,3315,37822,44.179246,38.211462
50,Anthurium_03_Translucent,53601,30036,2894,33102,43.963732,38.243689
51,Anthurium_06_Translucent,51426,28478,2714,31695,44.623342,38.367752
52,Anthurium_01_Translucent,93417,52158,4918,56828,44.166479,39.167389
53,M_4x4_03,491886,431156,87517,518707,12.346357,-5.452686
54,M_4x4_01,491916,428982,86896,515966,12.793648,-4.889046
55,M_4x4_02,491886,431230,87725,518997,12.331313,-5.511643
56,M_4x4_04,491886,430611,87278,517950,12.457155,-5.298789
57,M_3x4_03,491886,430768,87285,518097,12.425237,-5.328674
58,M_3x4_01,491892,429094,86771,515849,12.766624,-4.870378
59,M_3x4_02,491892,428835,86840,515681,12.819277,-4.836224
60,M_3x4_04,491886,431557,87578,519090,12.264834,-5.530550
61,M_4x3_03,491886,429869,87207,517141,12.608003,-5.134320
