submesh_id,mesh_id,lod,mesh_name,submesh_name,vertex_count,triangle_count,list_indices,restart_strip_indices,restart_tokens,degenerate_strip_indices,restart_reduction_percent,degenerate_reduction_percent
0,0,0,RiverSeedling_01_Translucent,MI_RiverFamily_Branches,6132,2920,8760,7737,1605,9342,11.678082,-6.643836
1,0,0,RiverSeedling_01_Translucent,MI_RiverFamily_Trunk,2068,1002,3006,2600,532,3132,13.506321,-4.191617
2,0,0,RiverSeedling_01_Translucent,MI_RiverFamily_Leaves_TwoSided,6076,2852,8556,7687,1611,9298,10.156615,-8.672277
3,0,1,RiverSeedling_01_Translucent,MI_RiverFamily_Branches,6132,1434,4302,4072,867,4934,5.346351,-14.690841
4,0,1,RiverSeedling_01_Translucent,MI_RiverFamily_Trunk,2068,500,1500,1376,287,1671,8.266667,-11.400000
5,0,1,RiverSeedling_01_Translucent,MI_RiverFamily_Leaves_TwoSided,6076,1426,4278,4476,1000,5470,-4.628331,-27.863488
6,0,2,RiverSeedling_01_Translucent,MI_RiverFamily_Branches,6132,714,2142,2127,462,2594,0.700280,-21.101774
7,0,2,RiverSeedling_01_Translucent,MI_RiverFamily_Trunk,2068,250,750,701,143,846,6.533333,-12.800000
8,0,2,RiverSeedling_01_Translucent,MI_RiverFamily_Leaves_TwoSided,6076,703,2109,1320,134,1453,37.411095,31.104789
9,0,3,RiverSeedling_01_Translucent,MI_RiverFamily_Branches,6132,348,1044,1067,234,1303,-2.203065,-24.808429
10,0,3,RiverSeedling_01_Translucent,MI_RiverFamily_Trunk,2068,120,360,267,44,316,25.833333,12.222222
11,0,3,RiverSeedling_01_Translucent,MI_RiverFamily_Leaves_TwoSided,6076,335,1005,749,111,858,25.472637,14.626866
12,0,4,RiverSeedling_01_Translucent,MI_RiverFamily_Branches,6132,168,504,507,109,615,-0.595238,-22.023810
13,0,4,RiverSeedling_01_Translucent,MI_RiverFamily_Trunk,2068,58,174,140,25,167,19.540230,4.022989
14,0,4,RiverSeedling_01_Translucent,MI_RiverFamily_Leaves_TwoSided,6076,162,486,378,61,439,22.222222,9.670782
15,0,5,RiverSeedling_01_Translucent,MI_RiverFamily_Branches,6132,84,252,266,59,323,-5.555556,-28.174603
16,0,5,RiverSeedling_01_Translucent,MI_RiverFamily_Trunk,2068,30,90,73,13,87,18.888889,3.333333
17,0,5,RiverSeedling_01_Translucent,MI_RiverFamily_Leaves_TwoSided,6076,84,252,219,42,263,13.095238,-4.365079
18,0,6,RiverSeedling_01_Translucent,MI_RiverFamily_Branches,6132,28,84,82,17,98,2.380952,-16.666667
19,0,6,RiverSeedling_01_Translucent,MI_RiverFamily_Trunk,2068,10,30,20,2,22,33.333333,26.666667
20,0,6,RiverSeedling_01_Translucent,MI_RiverFamily_Leaves_TwoSided,6076,20,60,61,13,74,-1.666667,-23.333333
21,1,0,RiverSeedling_02_Translucent,MI_RiverFamily_Branches,6132,2920,8760,7737,1605,9342,11.678082,-6.643836
