kind,mesh_index,submesh_index,lod_index,view,path,width,height
mesh,0,,0,hero,mesh/m000/l00_hero.bmp,640,640
mesh,0,,0,side,mesh/m000/l00_side.bmp,640,640
mesh,0,,0,top,mesh/m000/l00_top.bmp,640,640
mesh,0,,1,hero,mesh/m000/l01_hero.bmp,640,640
mesh,0,,1,side,mesh/m000/l01_side.bmp,640,640
mesh,0,,1,top,mesh/m000/l01_top.bmp,640,640
mesh,0,,2,hero,mesh/m000/l02_hero.bmp,640,640
mesh,0,,2,side,mesh/m000/l02_side.bmp,640,640
mesh,0,,2,top,mesh/m000/l02_top.bmp,640,640
mesh,0,,3,hero,mesh/m000/l03_hero.bmp,640,640
mesh,0,,3,side,mesh/m000/l03_side.bmp,640,640
mesh,0,,3,top,mesh/m000/l03_top.bmp,640,640
submesh,0,0,0,hero,submesh/m000_s00/l00_hero.bmp,640,640
submesh,0,0,1,hero,submesh/m000_s00/l01_hero.bmp,640,640
submesh,0,0,2,hero,submesh/m000_s00/l02_hero.bmp,640,640
submesh,0,0,3,hero,submesh/m000_s00/l03_hero.bmp,640,640
submesh,0,1,0,hero,submesh/m000_s01/l00_hero.bmp,640,640
submesh,0,1,1,hero,submesh/m000_s01/l01_hero.bmp,640,640
submesh,0,1,2,hero,submesh/m000_s01/l02_hero.bmp,640,640
submesh,0,1,3,hero,submesh/m000_s01/l03_hero.bmp,640,640
submesh,0,2,0,hero,submesh/m000_s02/l00_hero.bmp,640,640
submesh,0,2,1,hero,submesh/m000_s02/l01_hero.bmp,640,640
submesh,0,2,2,hero,submesh/m000_s02/l02_hero.bmp,640,640
submesh,0,2,3,hero,submesh/m000_s02/l03_hero.bmp,640,640
