kind,mesh_index,submesh_index,lod_index,view,path,width,height,image_path,image_mae,image_rmse,psnr_db,silhouette_iou,coverage_delta
mesh,0,,0,hero,mesh/m000/l00_hero.bmp,640,640,captures/mesh/m000/l00_hero.jpg,0.0,0.0,99.0,1.0,0.0
mesh,0,,1,hero,mesh/m000/l01_hero.bmp,640,640,captures/mesh/m000/l01_hero.jpg,0.005800520535558462,0.009818258695304394,40.15931058250449,0.9772357723577236,0.00010850694444444753
mesh,0,,2,hero,mesh/m000/l02_hero.bmp,640,640,captures/mesh/m000/l02_hero.jpg,0.04181750863790512,0.0695965513586998,23.148245599453617,0.844675740592474,0.0033637152777777762
mesh,0,,3,hero,mesh/m000/l03_hero.bmp,640,640,captures/mesh/m000/l03_hero.jpg,0.07409966737031937,0.10942111164331436,19.217977548051834,0.6596942880128721,0.009901258680555556
mesh,0,,4,hero,mesh/m000/l04_hero.bmp,640,640,captures/mesh/m000/l04_hero.jpg,0.09743830561637878,0.13372275233268738,17.4758938634564,0.4796488427773344,0.015570746527777776
mesh,0,,5,hero,mesh/m000/l05_hero.bmp,640,640,captures/mesh/m000/l05_hero.jpg,0.11563891172409058,0.1520124077796936,16.362419239745563,0.3357487922705314,0.020860460069444444
mesh,0,,6,hero,mesh/m000/l06_hero.bmp,640,640,captures/mesh/m000/l06_hero.jpg,0.13553676009178162,0.1709337830543518,15.343441911865261,0.14703493095044678,0.027560763888888888
mesh,0,,0,side,mesh/m000/l00_side.bmp,640,640,captures/mesh/m000/l00_side.jpg,0.0,0.0,99.0,1.0,0.0
mesh,0,,1,side,mesh/m000/l01_side.bmp,640,640,captures/mesh/m000/l01_side.jpg,0.005345495417714119,0.009122652001678944,40.79757783371859,0.9543094496365524,5.4253472222223764e-05
mesh,0,,2,side,mesh/m000/l02_side.bmp,640,640,captures/mesh/m000/l02_side.jpg,0.03321382775902748,0.054355278611183167,25.29516547667211,0.7906026557711952,0.003553602430555556
mesh,0,,3,side,mesh/m000/l03_side.bmp,640,640,captures/mesh/m000/l03_side.jpg,0.05998354032635689,0.08786904066801071,21.12328230180603,0.6079836233367452,0.00849066840277778
mesh,0,,4,side,mesh/m000/l04_side.bmp,640,640,captures/mesh/m000/l04_side.jpg,0.07436708360910416,0.10196193307638168,19.831238788408594,0.4448979591836735,0.012695312500000002
mesh,0,,5,side,mesh/m000/l05_side.bmp,640,640,captures/mesh/m000/l05_side.jpg,0.08544033020734787,0.1135641485452652,18.895175017990894,0.32061855670103095,0.016357421875
