mesh_index,mesh_name,lod_index,target_ratio,submesh_count,triangles,actual_ratio,max_deviation,bounds_x,bounds_y,bounds_z,instance_count,scale_median,scale_p95,scale_max,distance_1px_median,distance_1px_p95,alpha_tested,alpha_blended,double_sided,attribute_levels,sloppy_levels,reused_levels
0,"RiverSeedling_01_Translucent",0,1,3,6774,1,0,0.0122270137,0.0117387716,0.0121497232,452064,177.875,198.624954,200.000092,0,0,1,0,1,0,0,0
0,"RiverSeedling_01_Translucent",1,0.5,3,3360,0.496014172,5.46572337e-05,0.0122270137,0.0117387716,0.0121497232,452064,177.875,198.624954,200.000092,9.01300144,10.0644102,1,0,1,3,0,0
0,"RiverSeedling_01_Translucent",2,0.25,3,1669,0.24638323,0.000195381435,0.0122270137,0.0117387716,0.0121497232,452064,177.875,198.624954,200.000092,32.218483,35.9769173,1,0,1,2,1,0
0,"RiverSeedling_01_Translucent",3,0.119999997,3,805,0.118836729,0.000463958102,0.0122270137,0.0117387716,0.0121497232,452064,177.875,198.624954,200.000092,76.506897,85.4317856,1,0,1,2,1,0
0,"RiverSeedling_01_Translucent",4,0.0599999987,3,388,0.057277827,0.000726523343,0.0122270137,0.0117387716,0.0121497232,452064,177.875,198.624954,200.000092,119.804016,133.779724,1,0,1,2,1,0
0,"RiverSeedling_01_Translucent",5,0.0299999993,3,199,0.0293770298,0.00110149093,0.0122270137,0.0117387716,0.0121497232,452064,177.875,198.624954,200.000092,181.636337,202.825058,1,0,1,2,1,0
0,"RiverSeedling_01_Translucent",6,0.00999999978,3,62,0.00915264246,0.00154594274,0.0122270137,0.0117387716,0.0121497232,452064,177.875,198.624954,200.000092,254.926605,284.665009,1,0,1,2,1,0
1,"RiverSeedling_02_Translucent",0,1,3,6751,1,0,0.011474438,0.0115307905,0.0118228197,452705,177.874969,198.624954,200.000061,0,0,1,0,1,0,0,0
1,"RiverSeedling_02_Translucent",1,0.5,3,3349,0.496074656,5.28894125e-05,0.011474438,0.0115307905,0.0118228197,452705,177.874969,198.624954,200.000061,8.72148609,9.73888969,1,0,1,3,0,0
1,"RiverSeedling_02_Translucent",2,0.25,3,1659,0.245741372,0.000230784834,0.011474438,0.0115307905,0.0118228197,452705,177.874969,198.624954,200.000061,38.0565147,42.4959908,1,0,1,2,1,0
