mesh_index,mesh_name,recommended_lod,recommended_percent,reason,user_selected_lod,user_notes
0,RiverSeedling_01_Translucent,0,100,full-size visual threshold only passes LOD0,,
1,RiverSeedling_02_Translucent,0,100,full-size visual threshold only passes LOD0,,
2,RiverSeedling_04_Translucent,0,100,full-size visual threshold only passes LOD0,,
3,RiverSeedling_03_Translucent,0,100,full-size visual threshold only passes LOD0,,
4,RiverSeedling_05_Translucent,0,100,full-size visual threshold only passes LOD0,,
5,RiverSapling_02_Translucent,1,50,all three full-size views pass MAE/IoU draft thresholds,,
6,RiverSapling_05_Translucent,1,50,all three full-size views pass MAE/IoU draft thresholds,,
7,RiverSapling_01_Translucent,1,50,all three full-size views pass MAE/IoU draft thresholds,,
8,RiverSapling_04_Translucent,1,50,all three full-size views pass MAE/IoU draft thresholds,,
9,RiverSapling_03_Translucent,1,50,all three full-size views pass MAE/IoU draft thresholds,,
10,RiverForest_03_Animated_Translucent,1,50,all three full-size views pass MAE/IoU draft thresholds,,
11,RiverForest_01_Animated_Translucent,1,50,all three full-size views pass MAE/IoU draft thresholds,,
12,RiverForest_05_Animated_Translucent,1,50,all three full-size views pass MAE/IoU draft thresholds,,
13,QueenForest_02_Animated_Translucent,2,25,all three full-size views pass MAE/IoU draft thresholds,,
14,QueenForest_05_Animated_Translucent,2,25,all three full-size views pass MAE/IoU draft thresholds,,
15,QueenForest_06_Animated_Translucent,2,25,all three full-size views pass MAE/IoU draft thresholds,,
16,Moss_01,0,100,full-size visual threshold only passes LOD0,,
17,Moss_03,0,100,full-size visual threshold only passes LOD0,,
18,Moss_02,0,100,full-size visual threshold only passes LOD0,,
19,Grass_B_02,0,100,full-size visual threshold only passes LOD0,,
20,Grass_B_03,0,100,full-size visual threshold only passes LOD0,,
21,Grass_B_05,0,100,full-size visual threshold only passes LOD0,,
22,Grass_B_01,0,100,full-size visual threshold only passes LOD0,,
23,Grass_B_04,0,100,full-size visual threshold only passes LOD0,,
24,Grass_A_06,0,100,full-size visual threshold only passes LOD0,,
25,Grass_A_04,0,100,full-size visual threshold only passes LOD0,,
26,Grass_A_02,0,100,full-size visual threshold only passes LOD0,,
27,Grass_A_03,0,100,full-size visual threshold only passes LOD0,,
28,Grass_A_05,0,100,full-size visual threshold only passes LOD0,,
29,Grass_A_01,0,100,full-size visual threshold only passes LOD0,,
30,Shrub_02,0,100,full-size visual threshold only passes LOD0,,
31,Shrub_03,0,100,full-size visual threshold only passes LOD0,,
32,Shrub_01,0,100,full-size visual threshold only passes LOD0,,
33,Shrub_04,0,100,full-size visual threshold only passes LOD0,,
34,ShrubSorrel_01_Translucent,0,100,full-size visual threshold only passes LOD0,,
35,ShrubSorrel_05_Translucent,0,100,full-size visual threshold only passes LOD0,,
36,ShrubSorrel_07_Translucent,0,100,full-size visual threshold only passes LOD0,,
37,ShrubSorrel_03_Translucent,0,100,full-size visual threshold only passes LOD0,,
38,ShrubSorrel_06_Translucent,0,100,full-size visual threshold only passes LOD0,,
39,ShrubSorrel_02_Translucent,0,100,full-size visual threshold only passes LOD0,,
40,ShrubSorrel_04_Translucent,0,100,full-size visual threshold only passes LOD0,,
41,Nettle_03_Translucent,0,100,full-size visual threshold only passes LOD0,,
42,Nettle_02_Translucent,1,50,all three full-size views pass MAE/IoU draft thresholds,,
43,Nettle_06_Translucent,1,50,all three full-size views pass MAE/IoU draft thresholds,,
44,Nettle_01_Translucent,1,50,all three full-size views pass MAE/IoU draft thresholds,,
