mesh_index,mesh_name,submesh_index,submesh_name,lod_index,target_ratio,original_triangles,target_triangles,result_triangles,actual_ratio,simplify_scale,accumulated_error,relative_error,method,material_index,flags
0,"RiverSeedling_01_Translucent",0,"MI_RiverFamily_Branches",0,1,2920,2920,2920,1,0.0106230024,0,0,source,0,1
0,"RiverSeedling_01_Translucent",1,"MI_RiverFamily_Trunk",0,1,1002,1002,1002,1,0.0101484116,0,0,source,1,1
0,"RiverSeedling_01_Translucent",2,"MI_RiverFamily_Leaves_TwoSided",0,1,2852,2852,2852,1,0.0122270137,0,0,source,2,3
0,"RiverSeedling_01_Translucent",0,"MI_RiverFamily_Branches",1,0.5,2920,1460,1434,0.49109589,0.0106230024,5.36422558e-05,0.0050496324,attributes,0,1
0,"RiverSeedling_01_Translucent",1,"MI_RiverFamily_Trunk",1,0.5,1002,501,500,0.499001996,0.0101484116,3.40033257e-05,0.00335060572,attributes,1,1
0,"RiverSeedling_01_Translucent",2,"MI_RiverFamily_Leaves_TwoSided",1,0.5,2852,1426,1426,0.5,0.0122270137,5.46572337e-05,0.00447020307,attributes,2,3
0,"RiverSeedling_01_Translucent",0,"MI_RiverFamily_Branches",2,0.25,2920,730,716,0.245205479,0.0106230024,0.000132330359,0.0124569638,attributes,0,1
0,"RiverSeedling_01_Translucent",1,"MI_RiverFamily_Trunk",2,0.25,1002,250,250,0.249500998,0.0101484116,0.000135875045,0.0133887995,attributes,1,1
0,"RiverSeedling_01_Translucent",2,"MI_RiverFamily_Leaves_TwoSided",2,0.25,2852,713,703,0.246493689,0.0122270137,0.000195381435,0.0159794893,sloppy,2,3
0,"RiverSeedling_01_Translucent",0,"MI_RiverFamily_Branches",3,0.119999997,2920,350,350,0.119863014,0.0106230024,0.000236711145,0.0222828854,attributes,0,1
0,"RiverSeedling_01_Translucent",1,"MI_RiverFamily_Trunk",3,0.119999997,1002,120,120,0.119760479,0.0101484116,0.000360963691,0.0355684906,attributes,1,1
0,"RiverSeedling_01_Translucent",2,"MI_RiverFamily_Leaves_TwoSided",3,0.119999997,2852,342,335,0.117461431,0.0122270137,0.000463958102,0.0379453339,sloppy,2,3
0,"RiverSeedling_01_Translucent",0,"MI_RiverFamily_Branches",4,0.0599999987,2920,175,168,0.0575342466,0.0106230024,0.00037351856,0.0351612978,attributes,0,1
0,"RiverSeedling_01_Translucent",1,"MI_RiverFamily_Trunk",4,0.0599999987,1002,60,58,0.0578842315,0.0101484116,0.000726523343,0.0715898573,attributes,1,1
0,"RiverSeedling_01_Translucent",2,"MI_RiverFamily_Leaves_TwoSided",4,0.0599999987,2852,171,162,0.056802244,0.0122270137,0.000587770483,0.0480714664,sloppy,2,3
0,"RiverSeedling_01_Translucent",0,"MI_RiverFamily_Branches",5,0.0299999993,2920,87,86,0.0294520548,0.0106230024,0.000521786977,0.0491185971,attributes,0,1
0,"RiverSeedling_01_Translucent",1,"MI_RiverFamily_Trunk",5,0.0299999993,1002,30,28,0.0279441118,0.0101484116,0.00110149093,0.108538255,attributes,1,1
0,"RiverSeedling_01_Translucent",2,"MI_RiverFamily_Leaves_TwoSided",5,0.0299999993,2852,85,85,0.0298036466,0.0122270137,0.000647405512,0.0529487841,sloppy,2,3
0,"RiverSeedling_01_Translucent",0,"MI_RiverFamily_Branches",6,0.00999999978,2920,29,28,0.0095890411,0.0106230024,0.00071825413,0.0676131025,attributes,0,1
0,"RiverSeedling_01_Translucent",1,"MI_RiverFamily_Trunk",6,0.00999999978,1002,10,10,0.00998003992,0.0101484116,0.00154594274,0.152333468,attributes,1,1
