material_id,material,base_color,emissive,roughness,metallic,opacity,opacity_threshold,ior,specular,clearcoat,clearcoat_roughness,lod0_submesh_count,all_lod_submesh_count,lod0_triangles,meshes,base_color_binding,base_color_texture,base_color_channel,base_color_format,normal_binding,normal_texture,normal_channel,normal_format,roughness_binding,roughness_texture,roughness_channel,roughness_format,metallic_binding,metallic_texture,metallic_channel,metallic_format,opacity_binding,opacity_texture,opacity_channel,opacity_format,emissive_binding,emissive_texture,emissive_channel,emissive_format
0,MI_RiverFamily_Branches,"[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]",0.5,0.0,1.0,0.0,1.5,0.5,0.0,0.029999999329447746,1,4,2920,RiverSeedling_01_Translucent,0,PX_Pinus_Rigida_Bark_02_Albedo_Processed.png,RGB,BC1_UNORM,1,PX_Pinus_Rigida_Bark_02_Normal_Processed.png,RGB,BC5_UNORM,2,PX_Pinus_Rigida_Bark_02_Roughness_Processed.png,R,BC4_UNORM,,,,,,,,,,,,
1,MI_RiverFamily_Trunk,"[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]",0.5,0.0,1.0,0.0,1.4500000476837158,0.5,0.0,0.029999999329447746,1,4,1002,RiverSeedling_01_Translucent,3,PX_Chamaecyparis_Pisifera_Bark_01_Albedo_Processed.png,RGB,BC1_UNORM,4,PX_Chamaecyparis_Pisifera_Bark_01_Normal_Processed.png,RGB,BC5_UNORM,5,PX_Chamaecyparis_Pisifera_Bark_01_Roughness_Processed.png,R,BC4_UNORM,,,,,,,,,,,,
2,MI_RiverFamily_Leaves_TwoSided,"[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]",0.5,0.0,1.0,0.5,1.4500000476837158,0.5,0.0,0.029999999329447746,1,4,2852,RiverSeedling_01_Translucent,6,PX_Prunus_x_yedoensis_Leaf_03_albedo.jpg,RGB,BC1_UNORM,7,PX_Prunus_x_yedoensis_Leaf_03_normal.jpg,RGB,BC5_UNORM,8,PX_Prunus_x_yedoensis_Leaf_03_roughness.jpg,R,BC4_UNORM,,,,,9,PX_Prunus_x_yedoensis_Leaf_03_opacity.jpg,R,BC4_UNORM,,,,
3,MI_RiverFamily_Branches,"[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]",0.5,0.0,1.0,0.0,1.5,0.5,0.0,0.029999999329447746,1,4,2920,RiverSeedling_02_Translucent,10,PX_Pinus_Rigida_Bark_02_Albedo_Processed.png,RGB,BC1_UNORM,11,PX_Pinus_Rigida_Bark_02_Normal_Processed.png,RGB,BC5_UNORM,12,PX_Pinus_Rigida_Bark_02_Roughness_Processed.png,R,BC4_UNORM,,,,,,,,,,,,
4,MI_RiverFamily_Trunk,"[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]",0.5,0.0,1.0,0.0,1.4500000476837158,0.5,0.0,0.029999999329447746,1,4,1002,RiverSeedling_02_Translucent,13,PX_Chamaecyparis_Pisifera_Bark_01_Albedo_Processed.png,RGB,BC1_UNORM,14,PX_Chamaecyparis_Pisifera_Bark_01_Normal_Processed.png,RGB,BC5_UNORM,15,PX_Chamaecyparis_Pisifera_Bark_01_Roughness_Processed.png,R,BC4_UNORM,,,,,,,,,,,,
5,MI_RiverFamily_Leaves_TwoSided,"[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]",0.5,0.0,1.0,0.5,1.4500000476837158,0.5,0.0,0.029999999329447746,1,4,2829,RiverSeedling_02_Translucent,16,PX_Prunus_x_yedoensis_Leaf_03_albedo.jpg,RGB,BC1_UNORM,17,PX_Prunus_x_yedoensis_Leaf_03_normal.jpg,RGB,BC5_UNORM,18,PX_Prunus_x_yedoensis_Leaf_03_roughness.jpg,R,BC4_UNORM,,,,,19,PX_Prunus_x_yedoensis_Leaf_03_opacity.jpg,R,BC4_UNORM,,,,
6,MI_RiverFamily_Branches,"[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]",0.5,0.0,1.0,0.0,1.5,0.5,0.0,0.029999999329447746,1,4,2920,RiverSeedling_04_Translucent,20,PX_Pinus_Rigida_Bark_02_Albedo_Processed.png,RGB,BC1_UNORM,21,PX_Pinus_Rigida_Bark_02_Normal_Processed.png,RGB,BC5_UNORM,22,PX_Pinus_Rigida_Bark_02_Roughness_Processed.png,R,BC4_UNORM,,,,,,,,,,,,
7,MI_RiverFamily_Trunk,"[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]",0.5,0.0,1.0,0.0,1.4500000476837158,0.5,0.0,0.029999999329447746,1,4,1002,RiverSeedling_04_Translucent,23,PX_Chamaecyparis_Pisifera_Bark_01_Albedo_Processed.png,RGB,BC1_UNORM,24,PX_Chamaecyparis_Pisifera_Bark_01_Normal_Processed.png,RGB,BC5_UNORM,25,PX_Chamaecyparis_Pisifera_Bark_01_Roughness_Processed.png,R,BC4_UNORM,,,,,,,,,,,,
8,MI_RiverFamily_Leaves_TwoSided,"[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]",0.5,0.0,1.0,0.5,1.4500000476837158,0.5,0.0,0.029999999329447746,1,4,2852,RiverSeedling_04_Translucent,26,PX_Prunus_x_yedoensis_Leaf_03_albedo.jpg,RGB,BC1_UNORM,27,PX_Prunus_x_yedoensis_Leaf_03_normal.jpg,RGB,BC5_UNORM,28,PX_Prunus_x_yedoensis_Leaf_03_roughness.jpg,R,BC4_UNORM,,,,,29,PX_Prunus_x_yedoensis_Leaf_03_opacity.jpg,R,BC4_UNORM,,,,
9,MI_RiverFamily_Branches,"[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]",0.5,0.0,1.0,0.0,1.5,0.5,0.0,0.029999999329447746,1,4,2920,RiverSeedling_03_Translucent,30,PX_Pinus_Rigida_Bark_02_Albedo_Processed.png,RGB,BC1_UNORM,31,PX_Pinus_Rigida_Bark_02_Normal_Processed.png,RGB,BC5_UNORM,32,PX_Pinus_Rigida_Bark_02_Roughness_Processed.png,R,BC4_UNORM,,,,,,,,,,,,
10,MI_RiverFamily_Trunk,"[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]",0.5,0.0,1.0,0.0,1.4500000476837158,0.5,0.0,0.029999999329447746,1,4,1002,RiverSeedling_03_Translucent,33,PX_Chamaecyparis_Pisifera_Bark_01_Albedo_Processed.png,RGB,BC1_UNORM,34,PX_Chamaecyparis_Pisifera_Bark_01_Normal_Processed.png,RGB,BC5_UNORM,35,PX_Chamaecyparis_Pisifera_Bark_01_Roughness_Processed.png,R,BC4_UNORM,,,,,,,,,,,,
11,MI_RiverFamily_Leaves_TwoSided,"[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]",0.5,0.0,1.0,0.5,1.4500000476837158,0.5,0.0,0.029999999329447746,1,4,2852,RiverSeedling_03_Translucent,36,PX_Prunus_x_yedoensis_Leaf_03_albedo.jpg,RGB,BC1_UNORM,37,PX_Prunus_x_yedoensis_Leaf_03_normal.jpg,RGB,BC5_UNORM,38,PX_Prunus_x_yedoensis_Leaf_03_roughness.jpg,R,BC4_UNORM,,,,,39,PX_Prunus_x_yedoensis_Leaf_03_opacity.jpg,R,BC4_UNORM,,,,
12,MI_RiverFamily_Branches,"[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]",0.5,0.0,1.0,0.0,1.5,0.5,0.0,0.029999999329447746,1,4,2920,RiverSeedling_05_Translucent,40,PX_Pinus_Rigida_Bark_02_Albedo_Processed.png,RGB,BC1_UNORM,41,PX_Pinus_Rigida_Bark_02_Normal_Processed.png,RGB,BC5_UNORM,42,PX_Pinus_Rigida_Bark_02_Roughness_Processed.png,R,BC4_UNORM,,,,,,,,,,,,
13,MI_RiverFamily_Trunk,"[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]",0.5,0.0,1.0,0.0,1.4500000476837158,0.5,0.0,0.029999999329447746,1,4,1002,RiverSeedling_05_Translucent,43,PX_Chamaecyparis_Pisifera_Bark_01_Albedo_Processed.png,RGB,BC1_UNORM,44,PX_Chamaecyparis_Pisifera_Bark_01_Normal_Processed.png,RGB,BC5_UNORM,45,PX_Chamaecyparis_Pisifera_Bark_01_Roughness_Processed.png,R,BC4_UNORM,,,,,,,,,,,,
14,MI_RiverFamily_Leaves_TwoSided,"[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]",0.5,0.0,1.0,0.5,1.4500000476837158,0.5,0.0,0.029999999329447746,1,4,2875,RiverSeedling_05_Translucent,46,PX_Prunus_x_yedoensis_Leaf_03_albedo.jpg,RGB,BC1_UNORM,47,PX_Prunus_x_yedoensis_Leaf_03_normal.jpg,RGB,BC5_UNORM,48,PX_Prunus_x_yedoensis_Leaf_03_roughness.jpg,R,BC4_UNORM,,,,,49,PX_Prunus_x_yedoensis_Leaf_03_opacity.jpg,R,BC4_UNORM,,,,
15,MI_RiverFamily_Trunk,"[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]",0.5,0.0,1.0,0.0,1.4500000476837158,0.5,0.0,0.029999999329447746,1,4,3988,RiverSapling_02_Translucent,50,PX_Chamaecyparis_Pisifera_Bark_01_Albedo_Processed.png,RGB,BC1_UNORM,51,PX_Chamaecyparis_Pisifera_Bark_01_Normal_Processed.png,RGB,BC5_UNORM,52,PX_Chamaecyparis_Pisifera_Bark_01_Roughness_Processed.png,R,BC4_UNORM,,,,,,,,,,,,
16,MI_RiverFamily_Branches,"[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]",0.5,0.0,1.0,0.0,1.4500000476837158,0.5,0.0,0.029999999329447746,1,4,29986,RiverSapling_02_Translucent,53,PX_Pinus_Rigida_Bark_02_Albedo_Processed.png,RGB,BC1_UNORM,54,PX_Pinus_Rigida_Bark_02_Normal_Processed.png,RGB,BC5_UNORM,55,PX_Pinus_Rigida_Bark_02_Roughness_Processed.png,R,BC4_UNORM,,,,,,,,,,,,
17,MI_RiverFamily_Leaves_TwoSided,"[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]",0.5,0.0,1.0,0.5,1.4500000476837158,0.5,0.0,0.029999999329447746,1,4,67482,RiverSapling_02_Translucent,56,PX_Prunus_x_yedoensis_Leaf_03_albedo.jpg,RGB,BC1_UNORM,57,PX_Prunus_x_yedoensis_Leaf_03_normal.jpg,RGB,BC5_UNORM,58,PX_Prunus_x_yedoensis_Leaf_03_roughness.jpg,R,BC4_UNORM,,,,,59,PX_Prunus_x_yedoensis_Leaf_03_opacity.jpg,R,BC4_UNORM,,,,
18,MI_RiverFamily_Trunk,"[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]",0.5,0.0,1.0,0.0,1.4500000476837158,0.5,0.0,0.029999999329447746,1,4,3938,RiverSapling_05_Translucent,60,PX_Chamaecyparis_Pisifera_Bark_01_Albedo_Processed.png,RGB,BC1_UNORM,61,PX_Chamaecyparis_Pisifera_Bark_01_Normal_Processed.png,RGB,BC5_UNORM,62,PX_Chamaecyparis_Pisifera_Bark_01_Roughness_Processed.png,R,BC4_UNORM,,,,,,,,,,,,
19,MI_RiverFamily_Branches,"[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]",0.5,0.0,1.0,0.0,1.4500000476837158,0.5,0.0,0.029999999329447746,1,4,28336,RiverSapling_05_Translucent,63,PX_Pinus_Rigida_Bark_02_Albedo_Processed.png,RGB,BC1_UNORM,64,PX_Pinus_Rigida_Bark_02_Normal_Processed.png,RGB,BC5_UNORM,65,PX_Pinus_Rigida_Bark_02_Roughness_Processed.png,R,BC4_UNORM,,,,,,,,,,,,
20,MI_RiverFamily_Leaves_TwoSided,"[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]",0.5,0.0,1.0,0.5,1.4500000476837158,0.5,0.0,0.029999999329447746,1,4,62330,RiverSapling_05_Translucent,66,PX_Prunus_x_yedoensis_Leaf_03_albedo.jpg,RGB,BC1_UNORM,67,PX_Prunus_x_yedoensis_Leaf_03_normal.jpg,RGB,BC5_UNORM,68,PX_Prunus_x_yedoensis_Leaf_03_roughness.jpg,R,BC4_UNORM,,,,,69,PX_Prunus_x_yedoensis_Leaf_03_opacity.jpg,R,BC4_UNORM,,,,
21,MI_RiverFamily_Trunk,"[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]",0.5,0.0,1.0,0.0,1.4500000476837158,0.5,0.0,0.029999999329447746,1,4,4238,RiverSapling_01_Translucent,70,PX_Chamaecyparis_Pisifera_Bark_01_Albedo_Processed.png,RGB,BC1_UNORM,71,PX_Chamaecyparis_Pisifera_Bark_01_Normal_Processed.png,RGB,BC5_UNORM,72,PX_Chamaecyparis_Pisifera_Bark_01_Roughness_Processed.png,R,BC4_UNORM,,,,,,,,,,,,
