texture_id,texture,payload_key,width,height,mip_count,dxgi_format,payload_bytes,payload_valid,material_reference_count,base_color_materials,normal_materials,roughness_materials,metallic_materials,opacity_materials,emissive_materials
0,PX_Pinus_Rigida_Bark_02_Albedo_Processed.png,c:/users/mkkim/myfolder/mydev1/fast-jungle-renderer/assets/scene/jungleruins_1_0_1b/textures/trees/px_pinus_rigida_bark_02_albedo_processed.png,1024,1024,11,BC1_UNORM,699064,True,13,13,0,0,0,0,0
1,PX_Pinus_Rigida_Bark_02_Normal_Processed.png,c:/users/mkkim/myfolder/mydev1/fast-jungle-renderer/assets/scene/jungleruins_1_0_1b/textures/trees/px_pinus_rigida_bark_02_normal_processed.png,1024,1024,11,BC5_UNORM,1398128,True,13,0,13,0,0,0,0
2,PX_Pinus_Rigida_Bark_02_Roughness_Processed.png,c:/users/mkkim/myfolder/mydev1/fast-jungle-renderer/assets/scene/jungleruins_1_0_1b/textures/trees/px_pinus_rigida_bark_02_roughness_processed.png,1024,1024,11,BC4_UNORM,699064,True,13,0,0,13,0,0,0
3,PX_Chamaecyparis_Pisifera_Bark_01_Albedo_Processed.png,c:/users/mkkim/myfolder/mydev1/fast-jungle-renderer/assets/scene/jungleruins_1_0_1b/textures/trees/px_chamaecyparis_pisifera_bark_01_albedo_processed.png,4096,4096,13,BC1_UNORM,11184824,True,13,13,0,0,0,0,0
4,PX_Chamaecyparis_Pisifera_Bark_01_Normal_Processed.png,c:/users/mkkim/myfolder/mydev1/fast-jungle-renderer/assets/scene/jungleruins_1_0_1b/textures/trees/px_chamaecyparis_pisifera_bark_01_normal_processed.png,4096,4096,13,BC5_UNORM,22369648,True,13,0,13,0,0,0,0
5,PX_Chamaecyparis_Pisifera_Bark_01_Roughness_Processed.png,c:/users/mkkim/myfolder/mydev1/fast-jungle-renderer/assets/scene/jungleruins_1_0_1b/textures/trees/px_chamaecyparis_pisifera_bark_01_roughness_processed.png,4096,4096,13,BC4_UNORM,11184824,True,13,0,0,13,0,0,0
6,PX_Prunus_x_yedoensis_Leaf_03_albedo.jpg,c:/users/mkkim/myfolder/mydev1/fast-jungle-renderer/assets/scene/jungleruins_1_0_1b/textures/trees/px_prunus_x_yedoensis_leaf_03_albedo.jpg,4096,4096,13,BC1_UNORM,11184824,True,13,13,0,0,0,0,0
7,PX_Prunus_x_yedoensis_Leaf_03_normal.jpg,c:/users/mkkim/myfolder/mydev1/fast-jungle-renderer/assets/scene/jungleruins_1_0_1b/textures/trees/px_prunus_x_yedoensis_leaf_03_normal.jpg,4096,4096,13,BC5_UNORM,22369648,True,13,0,13,0,0,0,0
8,PX_Prunus_x_yedoensis_Leaf_03_roughness.jpg,c:/users/mkkim/myfolder/mydev1/fast-jungle-renderer/assets/scene/jungleruins_1_0_1b/textures/trees/px_prunus_x_yedoensis_leaf_03_roughness.jpg,4096,4096,13,BC4_UNORM,11184824,True,13,0,0,13,0,0,0
9,PX_Prunus_x_yedoensis_Leaf_03_opacity.jpg,c:/users/mkkim/myfolder/mydev1/fast-jungle-renderer/assets/scene/jungleruins_1_0_1b/textures/trees/px_prunus_x_yedoensis_leaf_03_opacity.jpg,4096,4096,13,BC4_UNORM,11184824,True,13,0,0,0,0,13,0
