camera_id,camera,kind,visible_clusters,false_positive_clusters,candidate_instances,actual_visible_instances,actual_in_candidate_clusters,instance_waste_ratio,visible_lod0_draws,ideal_lod0_draws,candidate_lod0_triangles,actual_lod0_triangles,rejected_actual_instances
0,orbit_e0_000,orbit,49507,3,8653782,8646664,8646664,0.0008225305421375302,182970,182951,1098217486624,1095667386135,0
1,orbit_e0_030,orbit,49771,0,8674676,8674676,8674676,0.0,184392,184392,1105712229849,1105712229849,0
2,orbit_e0_060,orbit,49771,0,8674676,8674676,8674676,0.0,184392,184392,1105712229849,1105712229849,0
3,orbit_e0_090,orbit,49502,0,8651818,8644484,8644484,0.0008476831112258718,182955,182955,1097463459729,1094832174530,0
4,orbit_e0_120,orbit,49771,0,8674676,8674676,8674676,0.0,184392,184392,1105712229849,1105712229849,0
5,orbit_e0_150,orbit,49771,0,8674676,8674676,8674676,0.0,184392,184392,1105712229849,1105712229849,0
6,orbit_e0_180,orbit,49514,0,8652914,8645528,8645528,0.0008535852777457397,182991,182991,1097883631355,1095234210567,0
7,orbit_e0_210,orbit,49771,0,8674676,8674676,8674676,0.0,184392,184392,1105712229849,1105712229849,0
8,orbit_e0_240,orbit,49771,0,8674676,8674676,8674676,0.0,184392,184392,1105712229849,1105712229849,0
9,orbit_e0_270,orbit,49519,1,8654878,8647700,8647700,0.0008293588887099275,183006,182998,1098637658250,1096066299500,0
10,orbit_e0_300,orbit,49771,0,8674676,8674676,8674676,0.0,184392,184392,1105712229849,1105712229849,0
11,orbit_e0_330,orbit,49771,0,8674676,8674676,8674676,0.0,184392,184392,1105712229849,1105712229849,0
12,orbit_e1_000,orbit,48030,44,8504096,8468848,8468848,0.00414482621080477,175019,174772,1044575112200,1031927529183,0
13,orbit_e1_030,orbit,48046,28,8478987,8452004,8452004,0.0031823377014258895,175272,175123,1035161445645,1025491947094,0
14,orbit_e1_060,orbit,48120,36,8489543,8462835,8462835,0.0031459879524728244,175644,175446,1039004384076,1029433065855,0
15,orbit_e1_090,orbit,48097,28,8506279,8467464,8467464,0.004563099799571587,175410,175251,1045151391513,1031261264021,0
16,orbit_e1_120,orbit,48311,51,8518438,8493519,8493519,0.0029253015635026048,176482,176214,1049635360708,1040736139939,0
17,orbit_e1_150,orbit,48307,59,8512933,8483525,8483525,0.0034545085694906797,176470,176148,1047548193203,1037003006763,0
18,orbit_e1_180,orbit,48129,68,8506147,8463793,8463793,0.004979222672733025,175526,175147,1045023057092,1029789338212,0
19,orbit_e1_210,orbit,48197,57,8497218,8470123,8470123,0.003188690698532155,175945,175629,1041795456184,1032073173218,0
20,orbit_e1_240,orbit,48234,55,8504924,8477055,8477055,0.003276807646958397,176126,175821,1044609195727,1034627393810,0
21,orbit_e1_270,orbit,48180,52,8523125,8484501,8484501,0.004531671188677862,175724,175448,1051339035280,1037539428241,0
22,orbit_e1_300,orbit,48367,33,8533726,8510368,8510368,0.0027371396738071975,176750,176551,1055326002236,1046961192744,0
23,orbit_e1_330,orbit,48368,57,8537640,8511717,8511717,0.0030363191701688053,176778,176457,1056782325530,1047511186803,0
24,interior_00,interior,41063,35,7688479,7643912,7643912,0.005796595139298683,137328,137138,751934082961,735986708494,0
25,interior_01,interior,2077,12,244038,225870,225870,0.07444742212278416,11196,11125,87648115125,81148174387,0
26,interior_02,interior,2001,8,223825,206198,206198,0.07875349045012844,10873,10824,80116294172,73774110263,0
27,interior_03,interior,41051,23,7707179,7665065,7665065,0.005464256117575575,137207,137073,759260206856,744175502196,0
28,interior_04,interior,7627,55,911237,879033,879033,0.035340970570773574,40871,40571,327317298103,315769032088,0
29,interior_05,interior,5252,19,629500,603966,603966,0.04056235107227959,28221,28124,226647755390,217491057171,0
30,interior_06,interior,5210,5,589315,563692,563692,0.043479293756310294,28170,28145,211433329085,202257417189,0
31,interior_07,interior,7481,25,880748,849113,849113,0.03591833305326836,40503,40358,315545350344,304246262168,0
32,top_00,top,37221,31,7228733,7190617,7190617,0.005272846569378064,116642,116479,587219062641,573615467043,0
33,top_01,top,37173,40,7178283,7139844,7139844,0.005354901722319947,116598,116378,568228513161,554536908781,0
34,top_02,top,37329,42,7258101,7216819,7216819,0.005687713631981698,117191,116970,597887119960,583166207614,0
35,top_03,top,37173,27,7219682,7185370,7185370,0.00475256389408841,116258,116107,583948322736,571730326326,0
36,Camera,authored,15118,234,3169312,2910721,2910721,0.08159215627871286,37695,37244,200828322525,188657428539,0
