batch_id,category,mesh,instance_offset,instance_count,cluster_count,mean_capacity_utilization,p10_capacity_utilization,median_cluster_diagonal_m,p95_cluster_diagonal_m,median_position_fill_ratio,candidate_instances_sum,actual_instances_sum,culling_waste_ratio,lod0_triangles_per_instance,lod0_submeshes_per_cluster
0,RiverSeedling,RiverSeedling_01_Translucent,0,452064,1908,0.9255110062893082,0.7109375,48.238037109375,77.98969268798828,0.6690617203712463,13597685,13589828,0.0005778189449159912,6774,3
1,RiverSeedling,RiverSeedling_02_Translucent,452064,452705,1894,0.9336741849260823,0.813671875,48.42165756225586,77.72225952148438,0.6644113063812256,13616695,13608972,0.0005671714024585261,6751,3
2,RiverSeedling,RiverSeedling_04_Translucent,904769,453893,1908,0.9292555195230608,0.73046875,48.07966613769531,77.67218017578125,0.6601362228393555,13652517,13644627,0.0005779154129601157,6774,3
3,RiverSeedling,RiverSeedling_03_Translucent,1358662,453588,1903,0.931071006305833,0.73828125,48.41495895385742,77.9902114868164,0.6612246632575989,13643108,13635547,0.0005541992337816281,6774,3
4,RiverSeedling,RiverSeedling_05_Translucent,1812250,454212,1913,0.9274781102979613,0.6960937500000001,48.45259475708008,78.11517333984375,0.6605978012084961,13662210,13654532,0.0005619881410108613,6797,3
5,RiverSapling,RiverSapling_02_Translucent,2266462,8771,248,0.13815209173387097,0.046875,96.76095581054688,108.74983215332031,0.8274550437927246,264263,263952,0.0011768579029224674,101456,3
6,RiverSapling,RiverSapling_05_Translucent,2275233,8892,249,0.13949548192771086,0.03828125,95.73347473144531,107.81083679199219,0.8347752094268799,267970,267605,0.001362092771578908,94604,3
7,RiverSapling,RiverSapling_01_Translucent,2284125,9230,250,0.14421875,0.046875,96.99393463134766,107.80989837646484,0.8351092338562012,278202,277837,0.0013119963192212852,101581,3
8,RiverSapling,RiverSapling_04_Translucent,2293355,9229,248,0.14536605342741934,0.05234375000000002,97.86962890625,110.39065551757812,0.8309741020202637,278054,277732,0.0011580484366346105,111902,3
9,RiverSapling,RiverSapling_03_Translucent,2302584,8878,247,0.1404035931174089,0.057031250000000006,96.87171173095703,109.1718521118164,0.831312894821167,267506,267193,0.0011700672134456796,102257,3
10,RiverForest,RiverForest_03_Animated_Translucent,2311462,802928,4537,0.6913020718536478,0.17578125,207.9355926513672,229.12850952148438,0.9420010447502136,22549483,22330526,0.009710067410414686,330089,3
11,RiverForest,RiverForest_01_Animated_Translucent,3114390,801785,4512,0.6941428759419326,0.1875,208.41030883789062,229.51483154296875,0.9435821771621704,22515914,22297867,0.0096841283014316,334587,3
12,RiverForest,RiverForest_05_Animated_Translucent,3916175,803254,4524,0.693570056918656,0.18085937500000004,208.93516540527344,230.23480224609375,0.9439269304275513,22561366,22341729,0.009735093167674333,334305,3
13,QueenForest,QueenForest_02_Animated_Translucent,4719429,204554,4092,0.19526858809872924,0.0703125,206.57308959960938,220.541015625,0.8572875261306763,5738826,5685391,0.009311137852933684,427804,8
14,QueenForest,QueenForest_05_Animated_Translucent,4923983,204025,4093,0.19471601667481064,0.06640625,207.52511596679688,220.19839477539062,0.8568164706230164,5724893,5671541,0.009319300814879859,432854,8
15,QueenForest,QueenForest_06_Animated_Translucent,5128008,205227,4092,0.19591103830645162,0.0703125,211.99859619140625,226.01951599121094,0.8576768040657043,5758167,5703643,0.009468985529596484,515442,8
16,Pyramid_Moss,Moss_01,5333235,678842,2653,0.9995200009423294,1.0,3.1617751121520996,5.756680488586426,0.5968755483627319,21042566,21015055,0.0013073975863970202,239,1
17,Pyramid_Moss,Moss_03,6012077,677899,2650,0.9992614976415094,1.0,3.3554773330688477,5.999411106109619,0.6031155586242676,21014101,20986379,0.0013192094203792015,229,1
18,Pyramid_Moss,Moss_02,6689976,677869,2650,0.9992172759433963,1.0,3.142151355743408,5.759970664978027,0.5971670150756836,21012403,20984792,0.001314033430636182,233,1
19,Grass_B,Grass_B_02,7367845,67737,269,0.9836344098513011,1.0,12.468005180358887,76.94528198242188,0.618614673614502,2066414,2056783,0.004660731102286376,1760,1
20,Pyramid_Grass_B,Grass_B_02,7435582,8825,37,0.9316934121621622,0.89375,13.322619438171387,24.794986724853516,0.6427347660064697,273575,273244,0.0012099058759024034,1760,1
21,Grass_B,Grass_B_03,7444407,68062,271,0.9810597324723247,1.0,13.41182804107666,77.43370056152344,0.6163114309310913,2075908,2067087,0.004249224917481892,1215,1
22,Pyramid_Grass_B,Grass_B_03,7512469,8659,37,0.9141680743243243,0.721875,14.194050788879395,25.4188232421875,0.6499998569488525,268429,268112,0.0011809454269099092,1215,1
23,Grass_B,Grass_B_05,7521128,68224,271,0.9833948339483395,1.0,13.704944610595703,80.9927978515625,0.619941234588623,2082304,2072675,0.004624204727071551,1664,1
24,Pyramid_Grass_B,Grass_B_05,7589352,8800,37,0.9290540540540541,0.928125,14.896629333496094,26.91114044189453,0.6395048499107361,272800,272495,0.0011180351906158357,1664,1
25,Grass_B,Grass_B_01,7598152,67855,270,0.9816984953703703,1.0,12.408824920654297,76.06351470947266,0.6143049597740173,2068419,2060260,0.003944558621826622,714,1
26,Pyramid_Grass_B,Grass_B_01,7666007,8679,37,0.9162795608108109,0.75,14.610305786132812,25.328937530517578,0.6071797013282776,269049,268759,0.0010778705737616568,714,1
27,Grass_B,Grass_B_04,7674686,67987,270,0.9836082175925925,1.0,12.86454963684082,79.29013061523438,0.6270655393600464,2074938,2064991,0.004793878178528708,2489,1
28,Pyramid_Grass_B,Grass_B_04,7742673,9037,37,0.954075168918919,0.946875,15.599020004272461,25.587799072265625,0.6081506013870239,280147,279802,0.0012314963215740308,2489,1
29,Grass_A,Grass_A_06,7751710,46537,183,0.9933615095628415,1.0,13.41515064239502,33.549076080322266,0.5979626178741455,1425294,1416529,0.006149608431663923,1466,1
30,Grass_A,Grass_A_04,7798247,46844,184,0.9944802989130435,1.0,13.323314666748047,33.625572204589844,0.603925347328186,1434760,1426130,0.006014943265772673,2287,1
31,Grass_A,Grass_A_02,7845091,46790,184,0.9933338994565217,1.0,13.543904304504395,33.64356994628906,0.6120296120643616,1432628,1424454,0.00570559838283211,4626,1
32,Grass_A,Grass_A_03,7891881,46930,184,0.9963060461956522,1.0,13.457582473754883,33.74766540527344,0.6039125919342041,1437340,1428771,0.005961707042175129,5945,1
33,Grass_A,Grass_A_05,7938811,47094,185,0.994383445945946,1.0,13.267708778381348,33.20271301269531,0.6095085740089417,1442516,1433585,0.006191265816115731,1257,1
