batch_id,component,name,definition_id,mesh_id,mesh_name,instance_offset,instance_count,min_x,min_y,min_z,max_x,max_y,max_z,extent_x,extent_y,extent_z,cells_8m,cells_16m,cells_32m,cells_64m,cells_128m,cells_256m,cells_512m,cells_1024m
0,Anthurium,Anthurium_05_Translucent,0,0,Anthurium_05_Translucent,0,21,338.48272705078125,7.026937007904053,195.00184631347656,387.10260009765625,13.671671867370605,289.58502197265625,48.619873046875,6.644734859466553,94.58317565917969,19,14,8,4,3,2,1,1
1,Anthurium,Anthurium_02_Translucent,1,1,Anthurium_02_Translucent,21,21,339.1244201660156,6.771140098571777,205.98406982421875,386.937255859375,12.534774780273438,276.8903503417969,47.812835693359375,5.76363468170166,70.90628051757812,18,11,6,3,3,2,1,1
2,Anthurium,Anthurium_04_Translucent,2,2,Anthurium_04_Translucent,42,24,336.96405029296875,6.799962043762207,202.58799743652344,386.3660888671875,13.405440330505371,290.2265319824219,49.40203857421875,6.605478286743164,87.63853454589844,21,15,8,5,4,2,1,1
3,Anthurium,Anthurium_03_Translucent,3,3,Anthurium_03_Translucent,66,28,339.09661865234375,6.761919975280762,194.56483459472656,381.7990417480469,14.387307167053223,284.89849853515625,42.702423095703125,7.625387191772461,90.33366394042969,19,13,5,3,3,2,1,1
4,Anthurium,Anthurium_06_Translucent,4,4,Anthurium_06_Translucent,94,26,333.74755859375,6.81060791015625,198.50624084472656,385.62896728515625,14.08131217956543,288.8963928222656,51.88140869140625,7.27070426940918,90.39015197753906,24,15,9,5,4,2,1,1
5,Anthurium,Anthurium_01_Translucent,5,5,Anthurium_01_Translucent,120,18,341.06146240234375,6.79144287109375,208.167236328125,385.5588073730469,13.237946510314941,285.15924072265625,44.497344970703125,6.446503639221191,76.99200439453125,18,12,6,3,3,2,1,1
6,Nettle,Nettle_03_Translucent,6,6,Nettle_03_Translucent,138,62,338.301513671875,6.789573669433594,196.27862548828125,385.2620544433594,13.923747062683105,295.6095886230469,46.960540771484375,7.134173393249512,99.33096313476562,38,20,9,6,4,2,1,1
7,Nettle,Nettle_02_Translucent,7,7,Nettle_02_Translucent,200,46,335.72137451171875,6.821653842926025,202.3358154296875,385.7877197265625,13.207167625427246,291.37109375,50.06634521484375,6.385513782501221,89.0352783203125,29,15,8,5,4,2,1,1
8,Nettle,Nettle_06_Translucent,8,8,Nettle_06_Translucent,246,53,336.32855224609375,6.72199821472168,197.6355438232422,391.1843566894531,13.382731437683105,297.41961669921875,54.855804443359375,6.660733222961426,99.78407287597656,40,20,8,4,3,2,1,1
9,Nettle,Nettle_01_Translucent,9,9,Nettle_01_Translucent,299,48,340.0201416015625,6.7730865478515625,200.88417053222656,385.4762268066406,13.716164588928223,293.71697998046875,45.456085205078125,6.94307804107666,92.83280944824219,33,19,9,6,4,2,1,1
10,Nettle,Nettle_04_Translucent,10,10,Nettle_04_Translucent,347,66,333.11077880859375,6.771462440490723,192.84207153320312,382.7926025390625,14.123733520507812,293.5190734863281,49.68182373046875,7.35227108001709,100.677001953125,38,19,7,5,4,2,1,1
11,Nettle,Nettle_05_Translucent,11,11,Nettle_05_Translucent,413,55,337.43377685546875,6.7798333168029785,199.5341339111328,389.4457092285156,14.075779914855957,294.4510803222656,52.011932373046875,7.2959465980529785,94.91694641113281,38,20,9,5,4,2,1,1
