mesh_id,name,lod0_vertices,lod0_submeshes,lod0_triangles,lod1_triangles,lod2_triangles,lod3_triangles,lod0_deviation_m,lod1_deviation_m,lod2_deviation_m,lod3_deviation_m,min_x,min_y,min_z,max_x,max_y,max_z,auxiliary_bytes
0,Anthurium_05_Translucent,4863,1,7664,3064,1148,306,0.0,1.4365691640705336e-06,6.499798928416567e-06,3.176897007506341e-05,-0.001954273320734501,-0.00013357259740587324,-0.0022674587089568377,0.0012510142987594008,0.0014313210267573595,0.0007565621053799987,91968
1,Anthurium_02_Translucent,9568,1,15544,6217,2330,621,0.0,3.299109266663436e-06,1.3972274246043526e-05,6.614060112042353e-05,-0.0038120930548757315,-0.00012195789167890325,-0.0027628180105239153,0.0036919780541211367,0.004581796936690807,0.00302673177793622,0
2,Anthurium_04_Translucent,6557,1,10360,4143,1553,414,0.0,1.9436438378761522e-06,8.36182607599767e-06,4.0149247070075944e-05,-0.002458749106153846,-0.0001524474355392158,-0.001972874626517296,0.0023472656030207872,0.0028224331326782703,0.001491305767558515,0
3,Anthurium_03_Translucent,5656,1,9072,3628,1359,361,0.0,2.8603501505131135e-06,1.1962041753577068e-05,5.246064392849803e-05,-0.00227221823297441,-0.0001652744394959882,-0.003221730003133416,0.003730964846909046,0.0033108640927821398,0.0034111016429960728,0
4,Anthurium_06_Translucent,5570,1,8704,3481,1304,348,0.0,1.4973654742789222e-06,6.72059650241863e-06,3.3274169254582375e-05,-0.001377756125293672,-0.00014192269009072334,-0.0017398428171873093,0.0017917529912665486,0.0012153052957728505,0.0011154162930324674,0
5,Anthurium_01_Translucent,9703,1,15808,6322,2371,632,0.0,3.7163515571592143e-06,1.5419764167745598e-05,7.15315982233733e-05,-0.004215392284095287,-0.00012335409701336175,-0.006484932266175747,0.0047002146020531654,0.004732091445475817,0.004825272597372532,189696
6,Nettle_03_Translucent,2736,1,3592,2322,848,266,0.0,6.410847390725394e-07,3.203982942068251e-06,1.2815489753847942e-05,-0.0003092743281740695,-1.2624202099686954e-05,-0.00021210958948358893,0.000332651543430984,0.0006130360998213291,0.00022246998560149223,43104
7,Nettle_02_Translucent,4336,1,5664,2575,912,291,0.0,1.0452852166054072e-06,5.203450200497173e-06,2.065548687824048e-05,-0.0001987099094549194,-1.6869709725142457e-05,-0.00032697105780243874,0.0004561179375741631,0.0010288809426128864,0.00033467731554992497,67968
8,Nettle_06_Translucent,6258,1,8080,3231,1212,323,0.0,1.6964598898994154e-06,7.335631380556151e-06,3.650790677056648e-05,-0.00041041485383175313,-5.5817290558479726e-05,-0.00046116102021187544,0.000412819383200258,0.0018714646575972438,0.0004856731684412807,96960
9,Nettle_01_Translucent,4585,1,5896,2627,894,313,0.0,1.3111565522194724e-06,6.485706308012595e-06,2.6223275199299678e-05,-0.0002843003021553159,-1.5644738596165553e-05,-0.0004249810299370438,0.0004885657108388841,0.0012992630945518613,0.0004656519740819931,70752
10,Nettle_04_Translucent,849,1,1088,646,234,80,0.0,5.960197313470417e-07,2.9647057999682147e-06,1.1831449228338897e-05,-0.0002956516109406948,-7.196159913291922e-06,-0.00020272545225452632,0.0003016060800291598,0.0002100224228342995,0.00018236525647807866,13056
11,Nettle_05_Translucent,5259,1,6984,2793,1047,293,0.0,2.0374836822156794e-06,8.897006409824826e-06,4.311819066060707e-05,-0.0005262836930342019,-3.9349972212221473e-05,-0.00044265110045671463,0.0005096288514323533,0.002128399210050702,0.00045792400487698615,83808
12,ShrubSorrel_01_Translucent,351,1,414,414,414,205,0.0,0.0,0.0,1.4300456314231269e-05,-0.00027049618074670434,-4.669203462981386e-06,-0.00039484412991441786,0.0004553399048745632,0.0004901178763248026,0.00019532199075911194,0
13,ShrubSorrel_05_Translucent,60,1,71,71,71,71,0.0,0.0,0.0,0.0,-0.0001633422216400504,-7.550165719294455e-06,-0.0002580243453849107,5.604578745987965e-06,0.00035661173751577735,5.353710093913833e-06,0
14,ShrubSorrel_07_Translucent,57,1,67,67,67,67,0.0,0.0,0.0,0.0,-7.133612234611064e-05,-1.3154561202100012e-05,-0.00021554119302891195,0.0001657417742535472,0.00043811145587824285,9.439852874493226e-06,0
15,ShrubSorrel_03_Translucent,300,1,355,355,280,186,0.0,0.0,2.1951859707769472e-06,8.953672477218788e-06,-0.00012470588262658566,-2.3901006898086052e-06,-0.00022048749087844044,0.00019060932390857488,0.00023165148741099983,0.00022971876023802906,0
16,ShrubSorrel_06_Translucent,54,1,63,63,63,63,0.0,0.0,0.0,0.0,-0.00014304138312581927,-7.5901402851741295e-06,-0.00016989422147162259,0.00012203502410557121,0.00040277891093865037,7.154502964112908e-05,0
17,ShrubSorrel_02_Translucent,240,1,284,284,284,144,0.0,0.0,0.0,8.420813173870556e-06,-0.00024156819563359022,-6.809774276916869e-06,-0.00023201789008453488,0.00018308167636860162,0.00034220475936308503,0.00016127694107126445,0
18,ShrubSorrel_04_Translucent,60,1,71,71,71,71,0.0,0.0,0.0,0.0,-0.00017796024621929973,-5.271590453048702e-06,-0.00016668644093442708,3.0242930733948015e-05,0.00036473479121923447,9.677958587417379e-06,0
19,Shrub_02,4420,1,6589,6589,2779,836,0.0,0.0,1.0332312740501948e-05,4.108304710825905e-05,-0.0008108491310849786,-3.048922553716693e-05,-0.000817330670543015,0.0006171264103613794,0.0020465354900807142,0.0008468719897791743,0
20,Shrub_03,4108,1,6177,6177,1983,579,0.0,0.0,1.3991946616442874e-05,5.5582109780516475e-05,-0.0009164010407403111,-7.596240902785212e-05,-0.000741216994356364,0.0006451079389080405,0.002728527644649148,0.0009444822208024561,0
21,Shrub_01,2513,1,3726,3726,1667,487,0.0,0.0,9.750693607202265e-06,3.876165646943264e-05,-0.00031277621746994555,-3.3911979699041694e-05,-0.0006983947823755443,0.0010458744363859296,0.0019165778066962957,0.0003876056580338627,0
22,Shrub_04,7244,1,10835,10835,3337,969,0.0,0.0,1.3608328117697965e-05,5.4472009651362896e-05,-0.0015523796901106834,-5.918123133596964e-05,-0.000909512338694185,0.0006261009839363396,0.0026743996422737837,0.0009596893796697259,0
23,Grass_B_01,645,1,714,714,448,174,0.0,0.0,7.729148819635157e-06,3.128558455500752e-05,-0.0005556991090998054,-2.8383330572978593e-05,-0.0006318891537375748,0.000635519449133426,0.0015409203479066491,0.0005657349247485399,0
24,Grass_B_05,1542,1,1664,1664,813,240,0.0,0.0,2.155446600227151e-05,8.578311826568097e-05,-0.0021328849252313375,-3.431674849707633e-05,-0.0025784459430724382,0.0014228083891794086,0.003998044412583113,0.001754019525833428,0
25,Grass_B_04,2197,1,2489,2489,1070,304,0.0,0.0,1.8004257071879692e-05,7.183020352385938e-05,-0.0018113652477040887,-5.1332612201804295e-05,-0.002080584643408656,0.0013623955892398953,0.0025524324737489223,0.0015386726008728147,0
26,Grass_B_03,1072,1,1215,1215,662,195,0.0,0.0,1.2987531590624712e-05,5.213810072746128e-05,-0.0013893020804971457,-5.509789116331376e-05,-0.000885804824065417,0.0012274691835045815,0.0022615171037614346,0.0016092985169962049,0
27,Grass_B_02,1575,1,1760,1760,1133,451,0.0,0.0,9.916931048792321e-06,3.9818718505557626e-05,-0.0006016343249939382,-4.036383325001225e-05,-0.0009417535620741546,0.0011896357173100114,0.0017552762292325497,0.0010509301209822297,0
28,Grass_A_06,1580,1,1466,1466,821,310,0.0,0.0,1.011808944895165e-05,4.007037205155939e-05,-0.0008015616913326085,-0.00021409003238659352,-0.0009483355097472668,0.0011217431165277958,0.0012322665425017476,0.00108021916821599,0
29,Grass_A_04,2593,1,2287,2287,1542,583,0.0,0.0,1.1047395673813298e-05,4.3893131078220904e-05,-0.0011184881441295147,-0.00022939748305361718,-0.0010901965433731675,0.0010376648278906941,0.0019480454502627254,0.0011235822457820177,0
30,Grass_A_02,4823,1,4626,4626,2613,851,0.0,0.0,1.414607231708942e-05,5.636455171043053e-05,-0.0014600969152525067,-0.0002561309956945479,-0.0014190356014296412,0.0013808774529024959,0.0014364951057359576,0.0013383631594479084,0
31,Grass_A_03,6405,1,5945,5945,2401,500,0.0,0.0,1.3867504094378091e-05,5.541420978261158e-05,-0.001451978925615549,-0.00021477331756614149,-0.0011970172636210918,0.001335931709036231,0.0012087008217349648,0.0013536815531551838,0
32,Grass_A_05,1386,1,1257,1257,750,237,0.0,0.0,1.0005917829403188e-05,3.9725364331388846e-05,-0.0007645512232556939,-3.344380820635706e-05,-0.0011334384325891733,0.0011133369989693165,0.0017437718342989683,0.0008768474799580872,0
33,Grass_A_01,7044,1,6422,6422,2504,313,0.0,0.0,1.6260621123365127e-05,6.477792339865118e-05,-0.0015279462095350027,-7.50455292291008e-05,-0.0016885031946003437,0.0016421438194811344,0.0013918423792347312,0.0015770848840475082,0
34,Moss_01,221,1,239,239,239,95,0.0,0.0,0.0,4.872817498835502e-06,-9.957650763681158e-05,1.8931722252091276e-06,-6.474255496868864e-05,7.010211993474513e-05,0.0002473829372320324,-3.419072163524106e-05,0
35,Moss_03,200,1,229,229,229,69,0.0,0.0,0.0,6.191164175106678e-06,-0.00014253957488108426,-1.7285734656979912e-06,-7.024063961580396e-05,1.4144168744678609e-05,0.00031280843541026115,-4.54424116469454e-05,0
36,Moss_02,220,1,233,233,233,96,0.0,0.0,0.0,4.88791374664288e-06,-9.720620437292382e-05,-1.5498970924454625e-06,-6.550353282364085e-05,7.047764665912837e-05,0.0002477247908245772,-3.81804202334024e-05,0
37,QueenForest_02_Animated_Translucent,875374,8,427804,188481,73464,23888,0.0,7.80107147875242e-05,0.00033626650110818446,0.0014567689504474401,-0.023868488147854805,-2.3275108229636743e-10,-0.03017493151128292,0.03306209668517113,0.09730701148509979,0.03221818432211876,15828748
38,QueenForest_05_Animated_Translucent,885892,8,432854,191364,74738,23669,0.0,7.915378955658525e-05,0.0003975971485488117,0.0015708052087575197,-0.03271745890378952,-2.363602369381823e-10,-0.025308722630143166,0.03228980302810669,0.09762553125619888,0.03400241956114769,16015598
39,QueenForest_06_Animated_Translucent,1057012,8,515442,224395,87202,24743,0.0,8.366032125195488e-05,0.0003966539807152003,0.0016688700998201966,-0.018334876745939255,-2.676056043426911e-10,-0.03916520997881889,0.044899094849824905,0.10394877940416336,0.035941071808338165,19071354
40,RiverForest_03_Animated_Translucent,697963,3,330089,153280,89717,13561,0.0,9.091520041693002e-05,0.0004612677148543298,0.001860189950093627,-0.023954030126333237,-0.011885632760822773,-0.03128537908196449,0.018924785777926445,0.08685888350009918,0.027157949283719063,12213293
41,RiverForest_01_Animated_Translucent,707487,3,334587,154952,89410,13634,0.0,9.458449494559318e-05,0.00047262123553082347,0.0018800306133925915,-0.01890060305595398,-0.01207782793790102,-0.02793157286942005,0.02490849420428276,0.0886748656630516,0.030823996290564537,12379719
42,RiverForest_05_Animated_Translucent,706899,3,334305,154654,89146,14068,0.0,9.508137009106576e-05,0.0004748693900182843,0.0018888185732066631,-0.03142120689153671,-0.012189907021820545,-0.025631669908761978,0.023907333612442017,0.08884338289499283,0.025056058540940285,12369285
