texture_id,name,width,height,format,mip_count,payload_bytes
0,anthurium_botany_01_BaseColor.tif,4096,4096,BC7,13,22369648
1,Anthurium_Botany_01_Normal.png,4096,4096,BC5,13,22369648
2,Anthurium_Botany_01_Roughness.png,4096,4096,BC4,13,11184824
3,Nettle_BaseColor.tif,4096,4096,BC7,13,22369648
4,Nettle_Normal.png,4096,4096,BC5,13,22369648
5,Nettle_Roughness.png,4096,4096,BC4,13,11184824
6,Shrub_Sorrel_01_BaseColor.tif,4096,4096,BC7,13,22369648
7,Shrub_Sorrel_01_Normal.png,4096,4096,BC5,13,22369648
8,Shrub_Sorrel_01_Roughness.png,4096,4096,BC4,13,11184824
9,Shrub_04_BaseColor.tif,4096,4096,BC7,13,22369648
10,Shrub_04_Normal.png,4096,4096,BC5,13,22369648
11,Shrub_04_Roughness.png,4096,4096,BC4,13,11184824
12,Grass_Medium_02_BaseColor.tif,4096,4096,BC7,13,22369648
13,Grass_Medium_02_Normal.png,4096,4096,BC5,13,22369648
14,Grass_Medium_02_Roughness.png,4096,4096,BC4,13,11184824
15,Grass_Medium_01_BaseColor.tif,4096,4096,BC7,13,22369648
16,Grass_Medium_01_Normal.png,4096,4096,BC5,13,22369648
17,Grass_Medium_01_Roughness.png,4096,4096,BC4,13,11184824
18,Moss_01_BaseColor.tif,4096,4096,BC7,13,22369648
19,Moss_01_Normal.png,4096,4096,BC5,13,22369648
20,Moss_01_Roughness.png,4096,4096,BC4,13,11184824
21,palm_bark_diff_4k.jpg,4096,4096,BC7,13,22369648
22,palm_bark_nor_gl_4k.exr,4096,4096,BC5,13,22369648
23,palm_bark_rough_4k.exr,4096,4096,BC4,13,11184824
24,PX_Chamaedorea_elegans_Leaf_01_albedo_E.jpg,4096,4096,BC7,13,22369648
25,PX_Chamaedorea_elegans_Leaf_01_normal.jpg,4096,4096,BC5,13,22369648
26,PX_Chamaedorea_elegans_Leaf_01_roughness.jpg,4096,4096,BC4,13,11184824
27,PX_Chamaedorea_elegans_Leaf_01_opacity.jpg,4096,4096,BC4,13,11184824
28,PX_Imperata_Cylindrica_Leaf_01_Albedo_Processed.png,4096,4096,BC7,13,22369648
29,PX_Imperata_cylindrica_Leaf_01_normal.jpg,4096,4096,BC5,13,22369648
30,PX_Imperata_cylindrica_Leaf_01_roughness.jpg,4096,4096,BC4,13,11184824
31,PX_Imperata_cylindrica_Leaf_01_opacity.jpg,4096,4096,BC4,13,11184824
32,MI_QueenForest_Berries_Albedo_Processed.png,1024,1024,BC7,11,1398128
33,MI_QueenForest_Berries_Normal_Processed.png,1024,1024,BC5,11,1398128
34,MI_QueenForest_Berries_Roughness_Processed.png,1024,1024,BC4,11,699064
35,PX_Chamaecyparis_Pisifera_Bark_01_Albedo_Processed.png,4096,4096,BC7,13,22369648
36,PX_Chamaecyparis_Pisifera_Bark_01_Normal_Processed.png,4096,4096,BC5,13,22369648
37,PX_Chamaecyparis_Pisifera_Bark_01_Roughness_Processed.png,4096,4096,BC4,13,11184824
38,PX_Pinus_Rigida_Bark_02_Albedo_Processed.png,1024,1024,BC7,11,1398128
39,PX_Pinus_Rigida_Bark_02_Normal_Processed.png,1024,1024,BC5,11,1398128
40,PX_Pinus_Rigida_Bark_02_Roughness_Processed.png,1024,1024,BC4,11,699064
41,PX_Prunus_x_yedoensis_Leaf_03_albedo.jpg,4096,4096,BC7,13,22369648
42,PX_Prunus_x_yedoensis_Leaf_03_normal.jpg,4096,4096,BC5,13,22369648
43,PX_Prunus_x_yedoensis_Leaf_03_roughness.jpg,4096,4096,BC4,13,11184824
44,PX_Prunus_x_yedoensis_Leaf_03_opacity.jpg,4096,4096,BC4,13,11184824
45,Terrain_Cinematic_BaseColor_4_4.jpg,8192,8192,BC7,14,89478512
46,Terrain_Cinematic_Normal_4_4.jpg,8192,8192,BC5,14,89478512
47,Metallic-Roughness.png,32,32,BC7,6,1392
48,Terrain_Cinematic_BaseColor_3_4.jpg,8192,8192,BC7,14,89478512
49,Terrain_Cinematic_Normal_3_4.jpg,8192,8192,BC5,14,89478512
50,Terrain_Cinematic_BaseColor_4_3.jpg,8192,8192,BC7,14,89478512
51,Terrain_Cinematic_Normal_4_3.jpg,8192,8192,BC5,14,89478512
52,Terrain_Cinematic_BaseColor_3_3.jpg,8192,8192,BC7,14,89478512
53,Terrain_Cinematic_Normal_3_3.jpg,8192,8192,BC5,14,89478512
54,Terrain_BaseColor_2_5.jpg,2048,2048,BC7,12,5592432
55,Terrain_Normal_2_5.jpg,2048,2048,BC5,12,5592432
56,Terrain_BaseColor_1_5.jpg,2048,2048,BC7,12,5592432
57,Terrain_Normal_1_5.jpg,2048,2048,BC5,12,5592432
58,Terrain_BaseColor_0_5.jpg,2048,2048,BC7,12,5592432
59,Terrain_Normal_0_5.jpg,2048,2048,BC5,12,5592432
60,Terrain_BaseColor_0_4.jpg,2048,2048,BC7,12,5592432
61,Terrain_Normal_0_4.jpg,2048,2048,BC5,12,5592432
62,Terrain_BaseColor_1_4.jpg,2048,2048,BC7,12,5592432
63,Terrain_Normal_1_4.jpg,2048,2048,BC5,12,5592432
64,Terrain_BaseColor_2_4.jpg,2048,2048,BC7,12,5592432
65,Terrain_Normal_2_4.jpg,2048,2048,BC5,12,5592432
66,Terrain_BaseColor_5_4.jpg,2048,2048,BC7,12,5592432
67,Terrain_Normal_5_4.jpg,2048,2048,BC5,12,5592432
68,Terrain_BaseColor_6_4.jpg,2048,2048,BC7,12,5592432
69,Terrain_Normal_6_4.jpg,2048,2048,BC5,12,5592432
70,Terrain_BaseColor_7_4.jpg,2048,2048,BC7,12,5592432
71,Terrain_Normal_7_4.jpg,2048,2048,BC5,12,5592432
72,Terrain_BaseColor_7_3.jpg,2048,2048,BC7,12,5592432
73,Terrain_Normal_7_3.jpg,2048,2048,BC5,12,5592432
74,Terrain_BaseColor_6_3.jpg,2048,2048,BC7,12,5592432
75,Terrain_Normal_6_3.jpg,2048,2048,BC5,12,5592432
76,Terrain_BaseColor_5_3.jpg,2048,2048,BC7,12,5592432
77,Terrain_Normal_5_3.jpg,2048,2048,BC5,12,5592432
78,Terrain_BaseColor_2_3.jpg,2048,2048,BC7,12,5592432
79,Terrain_Normal_2_3.jpg,2048,2048,BC5,12,5592432
80,Terrain_BaseColor_1_3.jpg,2048,2048,BC7,12,5592432
81,Terrain_Normal_1_3.jpg,2048,2048,BC5,12,5592432
82,Terrain_BaseColor_0_3.jpg,2048,2048,BC7,12,5592432
83,Terrain_Normal_0_3.jpg,2048,2048,BC5,12,5592432
84,Terrain_BaseColor_0_2.jpg,2048,2048,BC7,12,5592432
85,Terrain_Normal_0_2.jpg,2048,2048,BC5,12,5592432
86,Terrain_BaseColor_1_2.jpg,2048,2048,BC7,12,5592432
87,Terrain_Normal_1_2.jpg,2048,2048,BC5,12,5592432
88,Terrain_BaseColor_2_2.jpg,2048,2048,BC7,12,5592432
89,Terrain_Normal_2_2.jpg,2048,2048,BC5,12,5592432
90,Terrain_BaseColor_3_2.jpg,2048,2048,BC7,12,5592432
91,Terrain_Normal_3_2.jpg,2048,2048,BC5,12,5592432
92,Terrain_BaseColor_4_2.jpg,2048,2048,BC7,12,5592432
93,Terrain_Normal_4_2.jpg,2048,2048,BC5,12,5592432
94,Terrain_BaseColor_5_2.jpg,2048,2048,BC7,12,5592432
95,Terrain_Normal_5_2.jpg,2048,2048,BC5,12,5592432
96,Terrain_BaseColor_6_2.jpg,2048,2048,BC7,12,5592432
97,Terrain_Normal_6_2.jpg,2048,2048,BC5,12,5592432
98,Terrain_BaseColor_7_2.jpg,2048,2048,BC7,12,5592432
99,Terrain_Normal_7_2.jpg,2048,2048,BC5,12,5592432
100,Terrain_BaseColor_0_1.jpg,2048,2048,BC7,12,5592432
101,Terrain_Normal_0_1.jpg,2048,2048,BC5,12,5592432
102,Terrain_BaseColor_1_1.jpg,2048,2048,BC7,12,5592432
103,Terrain_Normal_1_1.jpg,2048,2048,BC5,12,5592432
104,Terrain_BaseColor_2_1.jpg,2048,2048,BC7,12,5592432
105,Terrain_Normal_2_1.jpg,2048,2048,BC5,12,5592432
106,Terrain_BaseColor_3_1.jpg,2048,2048,BC7,12,5592432
107,Terrain_Normal_3_1.jpg,2048,2048,BC5,12,5592432
108,Terrain_BaseColor_4_1.jpg,2048,2048,BC7,12,5592432
109,Terrain_Normal_4_1.jpg,2048,2048,BC5,12,5592432
110,Terrain_BaseColor_5_1.jpg,2048,2048,BC7,12,5592432
111,Terrain_Normal_5_1.jpg,2048,2048,BC5,12,5592432
112,Terrain_BaseColor_6_1.jpg,2048,2048,BC7,12,5592432
113,Terrain_Normal_6_1.jpg,2048,2048,BC5,12,5592432
114,Terrain_BaseColor_7_1.jpg,2048,2048,BC7,12,5592432
115,Terrain_Normal_7_1.jpg,2048,2048,BC5,12,5592432
116,Terrain_BaseColor_7_0.jpg,2048,2048,BC7,12,5592432
117,Terrain_Normal_7_0.jpg,2048,2048,BC5,12,5592432
118,Terrain_BaseColor_6_0.jpg,2048,2048,BC7,12,5592432
119,Terrain_Normal_6_0.jpg,2048,2048,BC5,12,5592432
120,Terrain_BaseColor_5_0.jpg,2048,2048,BC7,12,5592432
121,Terrain_Normal_5_0.jpg,2048,2048,BC5,12,5592432
122,Terrain_BaseColor_4_0.jpg,2048,2048,BC7,12,5592432
123,Terrain_Normal_4_0.jpg,2048,2048,BC5,12,5592432
124,Terrain_BaseColor_3_0.jpg,2048,2048,BC7,12,5592432
125,Terrain_Normal_3_0.jpg,2048,2048,BC5,12,5592432
126,Terrain_BaseColor_2_0.jpg,2048,2048,BC7,12,5592432
127,Terrain_Normal_2_0.jpg,2048,2048,BC5,12,5592432
128,Terrain_BaseColor_1_0.jpg,2048,2048,BC7,12,5592432
129,Terrain_Normal_1_0.jpg,2048,2048,BC5,12,5592432
130,Terrain_BaseColor_0_0.jpg,2048,2048,BC7,12,5592432
131,Terrain_Normal_0_0.jpg,2048,2048,BC5,12,5592432
132,Terrain_BaseColor_7_7.jpg,2048,2048,BC7,12,5592432
133,Terrain_Normal_7_7.jpg,2048,2048,BC5,12,5592432
134,Terrain_BaseColor_6_7.jpg,2048,2048,BC7,12,5592432
135,Terrain_Normal_6_7.jpg,2048,2048,BC5,12,5592432
136,Terrain_BaseColor_5_7.jpg,2048,2048,BC7,12,5592432
137,Terrain_Normal_5_7.jpg,2048,2048,BC5,12,5592432
138,Terrain_BaseColor_4_7.jpg,2048,2048,BC7,12,5592432
139,Terrain_Normal_4_7.jpg,2048,2048,BC5,12,5592432
140,Terrain_BaseColor_3_7.jpg,2048,2048,BC7,12,5592432
141,Terrain_Normal_3_7.jpg,2048,2048,BC5,12,5592432
142,Terrain_BaseColor_2_7.jpg,2048,2048,BC7,12,5592432
143,Terrain_Normal_2_7.jpg,2048,2048,BC5,12,5592432
144,Terrain_BaseColor_1_7.jpg,2048,2048,BC7,12,5592432
